,s_stables,i_stables,r_stables,n_stables
0,213.0857142857143,0.0,3.0,216.0857142857143
1,260.5285714285714,0.0,2.0,262.5285714285714
2,302.84285714285716,0.0,2.0,304.84285714285716
3,200.28571428571428,0.0,1.0,201.28571428571428
4,254.37142857142857,0.0,3.0,257.37142857142857
5,211.67142857142858,0.0,3.0,214.67142857142858
6,228.9,0.0,1.0,229.9
7,252.85714285714286,0.0,3.0,255.85714285714286
8,247.7,0.0,2.0,249.7
9,253.9857142857143,0.0,3.0,256.98571428571427
10,267.5571428571429,0.0,4.0,271.5571428571429
11,299.6857142857143,0.0,2.0,301.6857142857143
12,266.34285714285716,0.0,0.0,266.34285714285716
13,183.85714285714286,0.0,2.0,185.85714285714286
14,261.42857142857144,0.0,4.0,265.42857142857144
15,193.54285714285714,0.0,0.0,193.54285714285714
16,199.95714285714286,0.0,1.0,200.95714285714286
17,244.07142857142858,0.0,0.02857142857142857,244.1
18,217.94285714285715,0.0,1.0,218.94285714285715
19,216.81428571428572,0.0,4.0,220.81428571428572
20,231.82857142857142,0.0,4.742857142857143,236.57142857142858
21,269.2142857142857,0.0,3.0,272.2142857142857
22,204.05714285714285,0.0,1.0,205.05714285714285
23,273.35714285714283,0.0,4.0,277.35714285714283
24,255.47142857142856,0.0,1.4714285714285715,256.9428571428571
25,300.0,0.0,4.0,304.0
26,279.8,0.0,2.0,281.8
27,251.8,0.0,2.0,253.8
28,250.54285714285714,0.0,3.0,253.54285714285714
29,259.85714285714283,0.0,2.0,261.85714285714283
