,e-values,s*,i*,r*,n*,us*,ui*,ur*,un*
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.30000000000000004,54.694761904761904,0.0,0.0,54.694761904761904,60.56892239686505,0.0,0.0,60.56892239686505
7,0.35000000000000003,247.35095238095238,0.0,0.0,247.35095238095238,97.34600458126931,0.0,0.0,97.34600458126931
8,0.4,340.4633333333333,0.0,0.03333333333333333,340.49666666666667,138.1690658490401,0.0,0.1795054935711501,138.09459730639506
9,0.41000000000000003,354.05095238095237,0.16571428571428573,0.4976190476190476,354.7142857142857,111.26767961229287,0.8923987394680033,2.679760582597883,109.55179211889954
10,0.42000000000000004,276.45095238095234,4.498571428571428,7.216666666666666,288.1661904761905,186.74862298332428,8.14839356481232,11.87214660789552,177.6629480466222
11,0.43000000000000005,296.227619047619,1.139047619047619,1.994761904761905,299.3614285714285,186.493990672397,3.0916167826989436,4.7159268187321555,183.7002548574549
12,0.44000000000000006,315.6528571428572,6.148095238095238,7.262380952380951,329.06333333333333,209.00279463515818,11.508618765763838,12.52260458625053,199.3692693820261
13,0.45000000000000007,200.22476190476195,12.18285714285714,15.64952380952381,228.05714285714288,109.10363705276093,11.990079459377109,14.633970698778182,103.20960997812523
14,0.4600000000000001,213.65761904761902,14.566190476190474,20.41809523809524,248.64190476190475,169.93932744770612,12.38622972692145,16.78420010732208,154.8274030014758
15,0.4700000000000001,306.65190476190475,19.097619047619045,25.52714285714286,351.27666666666676,258.8591939497036,21.463425965931236,21.266590114591498,242.02037001701862
16,0.4800000000000001,299.86380952380955,24.7747619047619,31.361428571428572,356.0,228.29396497794565,19.762507168098914,24.789373999060693,212.85978381231587
17,0.4900000000000001,278.30809523809523,39.05380952380952,47.51380952380952,364.87571428571425,101.34768845353742,22.799482833176665,21.885400185279714,104.70089845887301
18,0.5000000000000001,278.10904761904766,45.653809523809535,57.26857142857143,381.0314285714285,88.95199802227151,16.197028653065,17.44780024339267,101.96514413115432
19,0.5100000000000001,326.6057142857143,45.05666666666666,58.34190476190477,430.0042857142857,99.30830716565882,20.61400042152626,22.842995899793976,91.47289901244791
20,0.5200000000000001,328.844761904762,54.51571428571429,67.2195238095238,450.58,74.40509635581975,18.548994270185492,16.48485657723118,77.22907295082298
21,0.5300000000000001,382.83238095238096,76.66809523809523,81.26142857142857,540.7619047619047,79.87276267151428,21.293778173186855,16.05060583339606,98.75006424407336
22,0.5400000000000001,416.95095238095234,78.77761904761904,89.38857142857144,585.1171428571429,75.73564808100234,22.148190043934115,18.434067987968206,97.36266779557815
23,0.5500000000000002,445.4628571428572,78.51571428571428,89.07523809523809,613.0538095238095,82.52448802512819,15.968257777935106,17.225178507149774,89.27006976717239
24,0.5600000000000002,491.6128571428572,87.29285714285716,94.70476190476191,673.6104761904763,101.91301108244795,24.90982669523003,12.116955194049499,119.33091256238058
25,0.5700000000000002,532.4304761904763,89.93619047619048,104.75761904761903,727.1242857142859,107.12316865028781,24.569939249807458,18.852452693545164,124.33466114171257
26,0.5800000000000002,556.2561904761905,102.62285714285713,104.31238095238093,763.1914285714288,91.13510117270752,26.363379208009473,19.53365375512076,112.6004390706873
27,0.5900000000000002,659.9214285714286,97.14809523809525,106.26428571428572,863.3338095238094,176.30994422315715,18.724043070044694,22.76353114831124,161.09373033161222
