,s_stables,i_stables,r_stables,n_stables
0,229.84285714285716,0.0,5.0,234.84285714285716
1,226.37142857142857,0.0,3.0,229.37142857142857
2,227.7,0.0,1.0,228.7
3,199.4857142857143,0.0,1.0,200.4857142857143
4,222.34285714285716,0.0,3.0,225.34285714285716
5,230.5,0.0,1.0,231.5
6,228.44285714285715,0.0,1.0,229.44285714285715
7,148.8,0.0,3.0,151.8
8,233.97142857142856,0.0,4.0,237.97142857142856
9,203.84285714285716,0.0,0.0,203.84285714285716
10,147.4,0.0,2.0,149.4
11,195.22857142857143,0.0,0.7571428571428571,195.9857142857143
12,213.25714285714287,0.0,1.0,214.25714285714287
13,241.95714285714286,0.0,2.0,243.95714285714286
14,229.92857142857142,0.0,3.0,232.92857142857142
15,264.77142857142854,0.0,4.0,268.77142857142854
16,223.22857142857143,0.0,2.0,225.22857142857143
17,203.4857142857143,0.0,4.0,207.4857142857143
18,243.94285714285715,0.0,2.0,245.94285714285715
19,232.6,0.0,2.4714285714285715,235.07142857142858
20,255.28571428571428,0.0,2.0,257.2857142857143
21,226.52857142857144,0.0,3.0,229.52857142857144
22,235.71428571428572,0.0,3.0,238.71428571428572
23,184.5857142857143,0.0,1.0,185.5857142857143
24,218.4142857142857,0.0,1.0,219.4142857142857
25,272.0571428571429,0.0,6.0,278.0571428571429
26,214.37142857142857,0.0,2.0,216.37142857142857
27,203.5142857142857,0.0,0.8857142857142857,204.4
28,223.2,0.0,1.0,224.2
29,159.32857142857142,0.0,0.0,159.32857142857142
