,s_stables,i_stables,r_stables,n_stables
0,258.5571428571429,0.0,6.0,264.5571428571429
1,251.84285714285716,0.0,3.0,254.84285714285716
2,261.1142857142857,0.0,2.0,263.1142857142857
3,231.9142857142857,0.0,0.0,231.9142857142857
4,262.0285714285714,0.0,1.1,263.12857142857143
5,244.78571428571428,0.0,0.0,244.78571428571428
6,262.75714285714287,0.0,0.0,262.75714285714287
7,223.22857142857143,0.0,3.0,226.22857142857143
8,273.27142857142854,0.0,1.0,274.27142857142854
9,262.3285714285714,0.0,0.0,262.3285714285714
10,275.3857142857143,0.0,3.0,278.3857142857143
11,243.95714285714286,0.0,4.0,247.95714285714286
12,221.5857142857143,0.0,0.0,221.5857142857143
13,251.4,0.0,6.0,257.4
14,281.0857142857143,0.0,3.0,284.0857142857143
15,241.27142857142857,0.0,1.5714285714285714,242.84285714285716
16,262.8142857142857,0.0,4.0,266.8142857142857
17,262.25714285714287,0.0,5.0,267.25714285714287
18,229.72857142857143,0.0,1.0,230.72857142857143
19,301.6142857142857,0.0,3.0,304.6142857142857
20,247.4857142857143,0.0,2.0,249.4857142857143
21,275.92857142857144,0.0,1.0,276.92857142857144
22,208.44285714285715,0.0,1.0,209.44285714285715
23,195.5,0.0,4.0,199.5
24,223.05714285714285,0.0,2.0,225.05714285714285
25,265.0571428571429,0.0,1.0,266.0571428571429
26,252.78571428571428,0.0,2.0,254.78571428571428
27,263.8285714285714,0.0,4.0,267.8285714285714
28,257.24285714285713,0.0,3.0,260.24285714285713
29,252.7,0.0,2.0,254.7
