,time,S,I,R,N
0,0.0,300.0,100.0,0.0,400.0
1,0.0025,298.0,99.0,1.0,398.0
2,0.005012562814070352,298.0,99.0,1.0,398.0
3,0.007525125628140703,298.0,100.0,1.0,399.0
4,0.010031391292301104,298.0,100.0,1.0,399.0
5,0.012537656956461505,296.0,99.0,2.0,397.0
6,0.015056548644118935,295.0,100.0,2.0,397.0
7,0.017575440331776365,294.0,101.0,2.0,397.0
8,0.020094332019433794,292.0,101.0,2.0,395.0
9,0.022625977589054047,291.0,101.0,3.0,395.0
10,0.0251576231586743,290.0,101.0,3.0,394.0
11,0.027695694224664148,289.0,101.0,3.0,393.0
12,0.030240223486750664,289.0,102.0,3.0,394.0
13,0.03277829455274051,288.0,103.0,3.0,394.0
14,0.03531636561873036,287.0,104.0,3.0,394.0
15,0.03785443668472021,286.0,105.0,3.0,394.0
16,0.04039250775071006,286.0,104.0,3.0,393.0
17,0.042937037012796574,286.0,103.0,4.0,393.0
18,0.04548156627488309,286.0,103.0,5.0,394.0
19,0.04801963734087294,286.0,104.0,5.0,395.0
20,0.05055128291049319,285.0,105.0,5.0,395.0
21,0.053082928480113444,285.0,104.0,5.0,394.0
22,0.05562099954610329,285.0,104.0,5.0,394.0
23,0.05815907061209314,284.0,103.0,6.0,393.0
24,0.060703599874179656,283.0,103.0,6.0,392.0
25,0.06325462028234292,282.0,103.0,7.0,392.0
26,0.06580564069050619,282.0,103.0,7.0,392.0
27,0.06835666109866946,281.0,104.0,7.0,392.0
28,0.07090768150683273,281.0,104.0,7.0,392.0
29,0.073458701914996,281.0,104.0,7.0,392.0
30,0.07600972232315927,279.0,104.0,7.0,390.0
31,0.07857382488726183,279.0,105.0,7.0,391.0
32,0.08113136964429508,278.0,105.0,8.0,391.0
33,0.08368891440132833,278.0,106.0,8.0,392.0
34,0.0862399348094916,278.0,107.0,8.0,393.0
35,0.08878446407157811,277.0,107.0,8.0,392.0
36,0.09133548447974138,278.0,107.0,8.0,393.0
37,0.09388001374182789,278.0,106.0,9.0,393.0
38,0.0964245430039144,278.0,105.0,10.0,393.0
39,0.09896907226600091,276.0,106.0,10.0,392.0
40,0.10152009267416418,277.0,105.0,11.0,393.0
41,0.10406462193625068,276.0,105.0,11.0,392.0
42,0.10661564234441395,275.0,106.0,11.0,392.0
43,0.10916666275257722,275.0,106.0,12.0,393.0
44,0.11171119201466373,274.0,105.0,13.0,392.0
45,0.114262212422827,273.0,105.0,14.0,392.0
46,0.11681323283099027,272.0,106.0,14.0,392.0
47,0.11936425323915353,273.0,106.0,14.0,393.0
48,0.12190878250124004,272.0,107.0,14.0,393.0
49,0.12445331176332655,270.0,108.0,14.0,392.0
50,0.12700433217148982,270.0,109.0,14.0,393.0
51,0.12954886143357633,270.0,109.0,14.0,393.0
52,0.13209339069566284,269.0,109.0,15.0,393.0
53,0.13463791995774935,269.0,108.0,16.0,393.0
54,0.13718244921983586,268.0,108.0,17.0,393.0
55,0.13972697848192236,267.0,108.0,17.0,392.0
56,0.14227799889008563,267.0,107.0,18.0,392.0
57,0.1448290192982489,267.0,108.0,18.0,393.0
58,0.1473735485603354,267.0,107.0,18.0,392.0
59,0.14992456896849868,266.0,107.0,19.0,392.0
60,0.15247558937666195,265.0,108.0,18.0,391.0
61,0.15503313413369518,264.0,108.0,19.0,391.0
62,0.15759067889072842,264.0,108.0,19.0,391.0
63,0.16014822364776166,264.0,108.0,19.0,391.0
64,0.1627057684047949,262.0,109.0,19.0,390.0
65,0.16526987096889745,264.0,109.0,18.0,391.0
66,0.16782741572593068,263.0,110.0,18.0,391.0
67,0.17038496048296392,261.0,110.0,19.0,390.0
68,0.17294906304706648,260.0,110.0,19.0,389.0
69,0.17551975713447007,259.0,109.0,19.0,387.0
70,0.17810373646263544,260.0,110.0,18.0,388.0
71,0.1806810560502643,260.0,110.0,18.0,388.0
72,0.18325837563789316,258.0,111.0,18.0,387.0
73,0.18584235496605853,257.0,111.0,19.0,387.0
74,0.1884263342942239,256.0,112.0,19.0,387.0
75,0.19101031362238927,255.0,112.0,20.0,387.0
76,0.19359429295055464,253.0,112.0,21.0,386.0
77,0.19618496652568418,252.0,113.0,21.0,386.0
78,0.19877564010081372,251.0,114.0,21.0,386.0
79,0.20136631367594326,250.0,115.0,21.0,386.0
80,0.2039569872510728,249.0,115.0,22.0,386.0
81,0.20654766082620235,248.0,116.0,22.0,386.0
82,0.2091383344013319,248.0,117.0,22.0,387.0
83,0.21172231372949726,247.0,118.0,22.0,387.0
84,0.21430629305766263,246.0,118.0,22.0,386.0
85,0.21689696663279218,246.0,118.0,22.0,386.0
86,0.21948764020792172,245.0,119.0,22.0,386.0
87,0.22207831378305126,246.0,120.0,21.0,387.0
88,0.22466229311121663,246.0,120.0,21.0,387.0
89,0.227246272439382,247.0,120.0,21.0,388.0
90,0.22982359202701086,246.0,120.0,21.0,387.0
91,0.23240757135517623,245.0,121.0,21.0,387.0
92,0.2349915506833416,244.0,121.0,22.0,387.0
93,0.23757553001150697,244.0,122.0,22.0,388.0
94,0.24015284959913583,244.0,122.0,22.0,388.0
95,0.24273016918676468,242.0,123.0,22.0,387.0
96,0.24531414851493005,241.0,124.0,21.0,386.0
97,0.2479048220900596,240.0,125.0,21.0,386.0
98,0.25049549566518914,240.0,124.0,22.0,386.0
99,0.2530861692403187,239.0,124.0,22.0,385.0
100,0.2556835718377213,240.0,125.0,21.0,386.0
101,0.2582742454128508,239.0,125.0,22.0,386.0
102,0.26086491898798037,238.0,126.0,22.0,386.0
103,0.2634555925631099,237.0,127.0,22.0,386.0
104,0.26604626613823945,237.0,128.0,22.0,387.0
105,0.26863024546640485,237.0,128.0,22.0,387.0
106,0.27121422479457025,236.0,129.0,22.0,387.0
107,0.27379820412273564,235.0,127.0,23.0,385.0
108,0.27639560672013824,234.0,127.0,24.0,385.0
109,0.27899300931754084,234.0,128.0,24.0,386.0
110,0.2815836828926704,232.0,129.0,24.0,385.0
111,0.284181085490073,231.0,130.0,24.0,385.0
112,0.2867784880874756,230.0,131.0,24.0,385.0
113,0.2893758906848782,229.0,131.0,24.0,384.0
114,0.29198005735154486,229.0,132.0,24.0,385.0
115,0.29457745994894746,227.0,133.0,24.0,384.0
116,0.29718162661561415,227.0,134.0,24.0,385.0
117,0.29977902921301675,227.0,135.0,24.0,386.0
118,0.3023697027881463,226.0,135.0,25.0,386.0
119,0.30496037636327583,225.0,136.0,25.0,386.0
120,0.3075510499384054,224.0,137.0,25.0,386.0
121,0.3101417235135349,224.0,137.0,26.0,387.0
122,0.3127257028417003,223.0,138.0,26.0,387.0
123,0.3153096821698657,222.0,138.0,26.0,386.0
124,0.31790035574499526,222.0,139.0,26.0,387.0
125,0.32048433507316065,221.0,140.0,26.0,387.0
126,0.32306831440132605,221.0,140.0,26.0,387.0
127,0.32565229372949145,221.0,140.0,26.0,387.0
128,0.32823627305765685,220.0,140.0,26.0,386.0
129,0.3308269466327864,219.0,139.0,27.0,385.0
130,0.333424349230189,218.0,139.0,27.0,384.0
131,0.3360285158968557,217.0,139.0,28.0,384.0
132,0.33863268256352236,218.0,140.0,27.0,385.0
133,0.34123008516092496,218.0,140.0,28.0,386.0
134,0.3438207587360545,217.0,141.0,28.0,386.0
135,0.34641143231118404,216.0,140.0,29.0,385.0
136,0.34900883490858664,215.0,141.0,28.0,384.0
137,0.3516130015752533,215.0,141.0,28.0,384.0
138,0.35421716824192,215.0,140.0,29.0,384.0
139,0.3568213349085867,214.0,140.0,30.0,384.0
140,0.3594255015752534,213.0,140.0,31.0,384.0
141,0.36202966824192007,214.0,139.0,31.0,384.0
142,0.36463383490858675,213.0,140.0,31.0,384.0
143,0.36723800157525344,214.0,140.0,31.0,385.0
144,0.36983540417265603,214.0,141.0,31.0,386.0
145,0.3724260777477856,213.0,141.0,31.0,385.0
146,0.3750234803451882,212.0,141.0,31.0,384.0
147,0.37762764701185486,211.0,141.0,31.0,383.0
148,0.3802386130692961,211.0,142.0,31.0,384.0
149,0.3828427797359628,210.0,142.0,31.0,383.0
150,0.3854537457934041,210.0,140.0,32.0,382.0
151,0.3880715468405245,210.0,141.0,32.0,383.0
152,0.39068251289796574,209.0,142.0,32.0,383.0
153,0.393293478955407,210.0,141.0,32.0,383.0
154,0.39590444501284827,209.0,140.0,33.0,382.0
155,0.39852224605996867,209.0,141.0,33.0,383.0
156,0.40113321211740993,208.0,141.0,34.0,383.0
157,0.4037441781748512,207.0,141.0,35.0,383.0
158,0.40635514423229246,206.0,142.0,35.0,383.0
159,0.40896611028973373,205.0,143.0,35.0,383.0
160,0.411577076347175,204.0,143.0,36.0,383.0
161,0.41418804240461626,203.0,142.0,36.0,381.0
162,0.4168127143206268,202.0,142.0,37.0,381.0
163,0.4194373862366373,200.0,143.0,37.0,380.0
164,0.4220689651840057,199.0,144.0,37.0,380.0
165,0.42470054413137415,198.0,143.0,38.0,379.0
166,0.42733906655881476,197.0,144.0,38.0,379.0
167,0.4299775889862554,198.0,144.0,38.0,380.0
168,0.4326091679336238,197.0,145.0,38.0,380.0
169,0.43524074688099224,196.0,145.0,38.0,379.0
170,0.43787926930843285,196.0,145.0,39.0,380.0
171,0.4405108482558013,195.0,145.0,39.0,379.0
172,0.4431493706832419,194.0,146.0,39.0,379.0
173,0.4457878931106825,193.0,146.0,39.0,378.0
174,0.4484333957561851,193.0,146.0,40.0,379.0
175,0.45107191818362574,194.0,145.0,40.0,379.0
176,0.45371044061106636,193.0,145.0,40.0,378.0
177,0.45635594325656903,192.0,145.0,40.0,377.0
178,0.4590084631504682,190.0,145.0,41.0,376.0
179,0.46166803761855335,190.0,145.0,40.0,375.0
180,0.46433470428522,189.0,146.0,40.0,375.0
181,0.46700137095188665,190.0,145.0,40.0,375.0
182,0.4696680376185533,189.0,145.0,41.0,375.0
183,0.47233470428521995,188.0,146.0,41.0,375.0
184,0.4750013709518866,188.0,146.0,41.0,375.0
185,0.47766803761855325,187.0,147.0,41.0,375.0
186,0.4803347042852199,186.0,147.0,42.0,375.0
187,0.48300137095188656,186.0,147.0,42.0,375.0
188,0.4856680376185532,186.0,148.0,42.0,376.0
189,0.48832761208663833,185.0,148.0,43.0,376.0
190,0.49098718655472345,184.0,149.0,43.0,376.0
191,0.4936467610228086,184.0,148.0,44.0,376.0
192,0.4963063354908937,183.0,149.0,44.0,376.0
193,0.4989659099589788,183.0,148.0,44.0,375.0
194,0.5016325766256455,183.0,147.0,44.0,374.0
195,0.5043063734170894,182.0,148.0,44.0,374.0
