,s_stables,i_stables,r_stables,n_stables
0,665.7,136.54285714285714,123.64285714285714,925.8857142857142
1,533.6428571428571,95.28571428571429,110.41428571428571,739.3428571428572
2,572.8428571428572,95.67142857142858,100.87142857142857,769.3857142857142
3,444.2142857142857,95.85714285714286,90.44285714285714,630.5142857142857
4,397.1142857142857,61.27142857142857,84.12857142857143,542.5142857142857
5,474.34285714285716,88.17142857142858,83.32857142857142,645.8428571428572
6,455.5,73.94285714285714,102.62857142857143,632.0714285714286
7,624.4571428571429,118.45714285714286,104.68571428571428,847.6
8,502.25714285714287,90.88571428571429,89.92857142857143,683.0714285714286
9,434.9714285714286,54.41428571428571,93.54285714285714,582.9285714285714
10,528.8714285714286,90.97142857142858,90.3,710.1428571428571
11,406.6,96.35714285714286,86.04285714285714,589.0
12,341.25714285714287,71.62857142857143,88.28571428571429,501.1714285714286
13,345.35714285714283,88.42857142857143,104.17142857142858,537.9571428571429
14,483.2,84.64285714285714,100.25714285714285,668.1
15,518.5285714285715,93.17142857142858,91.37142857142857,703.0714285714286
16,527.7428571428571,44.01428571428571,79.52857142857142,651.2857142857143
17,477.2142857142857,96.11428571428571,90.4,663.7285714285714
18,646.2714285714286,169.57142857142858,120.21428571428571,936.0571428571428
19,553.2428571428571,76.11428571428571,74.2,703.5571428571428
20,373.77142857142854,58.3,89.82857142857142,521.9
21,463.8857142857143,74.05714285714286,99.27142857142857,637.2142857142857
22,429.8,63.05714285714286,101.47142857142858,594.3285714285714
23,357.65714285714284,77.57142857142857,86.8,522.0285714285715
24,430.2857142857143,60.72857142857143,80.68571428571428,571.7
25,630.1857142857143,94.8,114.4,839.3857142857142
26,790.3285714285714,70.11428571428571,72.68571428571428,933.1285714285714
27,469.1142857142857,88.98571428571428,92.38571428571429,650.4857142857143
28,457.4,89.68571428571428,96.08571428571429,643.1714285714286
29,412.62857142857143,119.97142857142858,99.14285714285714,631.7428571428571
