,s_stables,i_stables,r_stables,n_stables
0,238.2,0.0,3.0,241.2
1,209.9857142857143,0.0,1.0,210.9857142857143
2,177.52857142857144,0.0,1.0,178.52857142857144
3,210.07142857142858,0.0,1.0,211.07142857142858
4,172.78571428571428,0.0,1.0,173.78571428571428
5,202.75714285714287,0.0,1.0,203.75714285714287
6,161.94285714285715,0.0,3.0,164.94285714285715
7,226.11428571428573,0.0,1.0,227.11428571428573
8,212.4,0.0,0.8571428571428571,213.25714285714287
9,196.62857142857143,0.0,0.0,196.62857142857143
10,226.64285714285714,0.0,0.0,226.64285714285714
11,196.5,0.0,1.0,197.5
12,207.34285714285716,0.0,3.0,210.34285714285716
13,196.9,0.0,2.0,198.9
14,233.11428571428573,0.0,1.0,234.11428571428573
15,192.15714285714284,0.0,4.0,196.15714285714284
16,208.64285714285714,0.0,0.0,208.64285714285714
17,173.15714285714284,0.0,0.0,173.15714285714284
18,211.2,0.0,1.0,212.2
19,203.85714285714286,0.0,0.0,203.85714285714286
20,174.0,0.0,0.0,174.0
21,233.0,0.0,2.0,235.0
22,183.81428571428572,0.0,1.0,184.81428571428572
23,198.21428571428572,0.0,0.0,198.21428571428572
24,245.75714285714287,0.0,0.0,245.75714285714287
25,254.25714285714287,0.0,5.0,259.25714285714287
26,192.21428571428572,0.0,0.0,192.21428571428572
27,176.6,0.0,1.0,177.6
28,154.9142857142857,0.0,0.0,154.9142857142857
29,180.31428571428572,0.0,1.0,181.31428571428572
