,d-values,s*,i*,r*,n*,us*,ui*,ur*,un*
0,0.0,945.1709523809524,152.26095238095238,201.73285714285717,1299.1647619047617,103.26649919947947,30.533361910689774,23.10978152300052,66.45360129912889
1,0.05,821.3942857142857,134.57857142857142,172.53238095238098,1128.505238095238,78.70819928072046,29.23593254371545,21.1563711422658,67.32117299265197
2,0.1,674.0761904761906,113.29476190476193,142.83714285714282,930.2080952380952,88.39949790029885,26.205321545904813,23.524700175928853,71.81732719537486
3,0.15000000000000002,553.42,91.89619047619045,112.34904761904764,757.6652380952381,79.6535555146313,21.99511106263381,18.8735198305364,72.20623219972586
4,0.2,460.0695238095238,73.20809523809524,87.62476190476191,620.9023809523809,75.93992915396548,21.1765769343772,18.78200866342859,60.87987235759158
5,0.21000000000000002,437.30761904761914,71.4004761904762,84.74142857142857,593.4495238095238,97.944039328125,18.032264538850715,15.681341809691574,85.56008746956991
6,0.22000000000000003,429.3399999999999,69.90142857142857,80.67285714285713,579.9142857142857,99.62814408528119,19.50556569795603,17.3417024601879,89.96701799287678
7,0.23000000000000004,394.28476190476187,66.8,75.90190476190475,536.9866666666668,96.16122246818601,21.63164380266655,16.872798917507954,84.4424719789923
8,0.24000000000000005,364.6738095238095,57.68047619047619,73.03952380952381,495.3938095238096,74.46445210289355,19.738864072567182,16.114048750087033,74.38613694661977
9,0.25000000000000006,329.0933333333333,56.95761904761905,71.69952380952381,457.7504761904762,69.44402069276609,18.613584200256685,14.67426850769154,72.36538717976988
10,0.26000000000000006,334.8971428571429,57.313333333333325,68.27523809523811,460.48571428571427,48.62231499678166,15.152757739770717,14.172262328264102,54.28680287129087
11,0.2700000000000001,304.24999999999994,46.995714285714286,59.09571428571429,410.3414285714286,77.05823177983008,13.854771593872176,12.726328245501326,76.06466317781037
12,0.2800000000000001,306.52619047619044,47.34190476190476,58.48285714285714,412.35095238095244,91.58914196728702,17.241695993307143,14.933471239645058,84.86005267444334
13,0.2900000000000001,281.99,39.77571428571428,51.574285714285715,373.3400000000001,80.23128549455534,18.194626982172736,17.768517369882318,78.54184520126229
14,0.3000000000000001,283.4161904761905,42.403809523809514,45.30380952380953,371.12380952380954,115.39423650902646,18.93176251029026,17.27956794832341,103.50063520350174
15,0.3100000000000001,234.3004761904762,38.076666666666675,42.529047619047624,314.9061904761904,87.8938905326788,14.567827044801714,14.002752636745951,95.72389324086336
16,0.3200000000000001,186.34619047619046,34.83380952380953,38.57809523809523,259.7580952380952,69.25714773724378,15.018338668836913,11.507881790783983,85.8635608038876
17,0.3300000000000001,196.43666666666667,31.171904761904763,38.939523809523806,266.54809523809524,52.365601172599945,14.126712999895124,14.133248627971042,64.7690312413001
18,0.34000000000000014,183.78714285714284,26.393333333333334,35.85428571428572,246.0347619047619,72.6944497549164,12.463511223493185,16.186055306792873,86.59418478875487
19,0.35000000000000014,165.6290476190476,21.737619047619052,29.535238095238093,216.90190476190477,69.49740204446283,13.428020496972746,15.000289218678116,69.86512046505302
20,0.36000000000000015,180.9828571428571,19.852857142857143,23.292857142857144,224.12857142857143,118.1842093461538,15.281493921164419,15.189252264471136,109.98339454131217
21,0.37000000000000016,162.8404761904762,16.951428571428572,19.24142857142857,199.03333333333336,78.28917806756135,18.29016560403785,14.629936390002188,81.1379437926701
22,0.38000000000000017,150.60761904761907,13.42761904761905,14.673333333333334,178.70857142857136,76.72891123625521,12.556059833751704,12.490304121683915,80.54884355867225
23,0.3900000000000002,133.97857142857146,11.067142857142859,13.246666666666664,158.29238095238097,83.65933469920093,12.65423063885057,12.367985297430636,82.92174154503556
24,0.4,127.98142857142855,7.624761904761906,9.92142857142857,145.52761904761903,89.69153814962847,9.55323568316728,12.145200754229805,86.08169667527663
25,0.45,109.75142857142855,0.5457142857142857,1.0376190476190474,111.33476190476189,67.41606478040816,2.103477522360253,2.9600893609726224,66.66432591298818
26,0.5,58.78809523809524,0.0,0.0,58.78809523809524,54.92646972056113,0.0,0.0,54.92646972056113
27,0.55,7.555238095238094,0.0,0.0,7.555238095238094,12.848275637145733,0.0,0.0,12.848275637145733
28,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.6499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
