,di-values,s*,i*,r*,n*,us*,ui*,ur*,un*
0,0.0,139.57619047619045,121.48666666666666,157.10619047619048,418.1690476190476,19.8236110624567,19.079424018079738,19.196848410322172,51.77428406969724
1,0.2,43.64761904761905,31.448095238095235,42.42238095238096,117.51809523809523,23.23949615215217,15.647499847385296,20.044339517979086,55.91706418545399
2,0.4,10.203333333333335,0.0,0.0004761904761904762,10.203809523809525,14.751700782069804,0.0,0.0025643641938735734,14.751795893590986
3,0.6000000000000001,21.37952380952381,0.0,0.0,21.37952380952381,28.73011236030635,0.0,0.0,28.73011236030635
4,0.8,24.65904761904762,0.0,0.0,24.65904761904762,27.977872873425206,0.0,0.0,27.977872873425206
5,1.0,33.46142857142857,0.0,0.0,33.46142857142857,37.190893873027974,0.0,0.0,37.190893873027974
6,1.2000000000000002,27.591904761904765,0.0,0.0,27.591904761904765,29.43682216362647,0.0,0.0,29.43682216362647
7,1.4000000000000001,61.458571428571425,0.0,0.0,61.458571428571425,55.35343082485162,0.0,0.0,55.35343082485162
8,1.6,57.12523809523809,0.0,0.0,57.12523809523809,53.03388310878596,0.0,0.0,53.03388310878596
9,1.8,74.09142857142857,-0.03333333333333333,0.0,74.05809523809522,45.761374200383045,0.1795054935711501,0.0,45.79197029295265
10,2.0,101.29619047619047,0.0,0.0,101.29619047619047,52.985062961670195,0.0,0.0,52.985062961670195
11,2.2,126.88666666666664,0.0,0.13333333333333333,127.01999999999998,55.59730196230324,0.0,0.33993463423951903,55.65370009886025
12,2.4000000000000004,136.9214285714286,0.0,0.3,137.2214285714286,42.55465709104063,0.0,0.7810249675906653,42.76568252747542
13,2.6,134.03333333333336,0.16857142857142857,0.43333333333333335,134.6352380952381,41.800845015273666,0.9077849246312447,1.9779338265529065,42.32018716014665
14,2.8000000000000003,158.86238095238096,0.0,0.6333333333333333,159.49571428571429,46.46967784434185,0.0,1.4688064168737256,46.2389764248337
15,3.0,152.66999999999996,0.0,0.30095238095238097,152.97095238095238,50.452645858762054,0.0,0.5254726843044397,50.6936586466604
16,3.2,172.0890476190476,0.0,0.738095238095238,172.82714285714286,40.97254559202113,0.0,1.226178918114736,40.59617024764171
17,3.4000000000000004,194.2642857142857,0.0,0.6333333333333333,194.89761904761906,35.50259543065725,0.0,0.8359957469322967,35.81955211974261
18,3.6,200.50857142857146,0.0,1.297142857142857,201.80571428571432,43.47388607046795,0.2581988897471611,1.2874242597099823,43.36868044496414
19,3.8000000000000003,209.7319047619048,0.0,1.3495238095238096,211.08142857142857,32.455316993272255,0.0,1.4595765546283832,33.06872027376048
20,4.0,211.4476190476191,0.0,1.4533333333333331,212.90095238095242,32.62673402660203,0.0,1.0568270656602325,33.21957355415902
21,4.05,208.01285714285714,0.03333333333333333,1.7257142857142858,209.7719047619048,34.40066095512788,0.17950549357115012,2.0471928681625924,34.037071922822115
22,4.1,201.7004761904762,0.0,1.161904761904762,202.86238095238096,24.561243039333092,0.0,1.267990715074341,24.936250552358057
23,4.1499999999999995,220.8790476190476,0.0,1.2880952380952382,222.16714285714286,31.374529019601457,0.0,1.0633798211320966,31.96269789086311
24,4.199999999999999,218.47047619047623,0.0,1.9333333333333333,220.40380952380957,28.173404966249468,0.0,1.364632632697248,28.457888432892506
25,4.249999999999999,210.58333333333334,-0.03333333333333333,1.0799999999999998,211.63,37.106112242589326,0.1795054935711501,0.9994665243685419,37.42925887227653
26,4.299999999999999,220.79857142857142,0.0,1.8252380952380953,222.6238095238095,28.983439407081164,0.0,1.7189131328478013,29.45611709759316
27,4.349999999999999,219.53809523809522,0.0,1.93,221.4680952380953,32.331515833622355,0.0,1.4911181486835083,32.99384887700768
28,4.399999999999999,231.22952380952387,0.0,2.028095238095238,233.2576190476191,29.827285808212707,0.0,1.6676289059021652,30.12829742776202
29,4.449999999999998,220.55,0.0,1.7433333333333334,222.29333333333335,40.851090752221765,0.0,1.2838053730327132,41.20406091427961
30,4.499999999999998,222.21904761904761,0.0,1.8395238095238093,224.05857142857138,32.84370539581342,0.0,1.7449506682044396,33.122009114108735
31,4.549999999999998,227.9147619047619,0.0,2.2790476190476188,230.19380952380953,21.37334454211834,0.0,1.6466322395806248,21.807588295275472
32,4.599999999999998,226.9614285714286,0.0,1.4047619047619047,228.36619047619044,31.161809687391347,0.0,1.1129132777170108,31.419527158251007
33,4.649999999999998,218.00333333333336,0.0,2.1704761904761907,220.17380952380955,29.003967048235786,0.0,1.427546934231273,29.658388377216095
34,4.6999999999999975,223.92714285714285,0.0,2.0423809523809524,225.9695238095238,30.288786310951387,0.0,1.4358267349156069,30.64878147489214
35,4.749999999999997,238.32095238095238,0.0,1.6752380952380952,239.99619047619052,21.60742116572699,0.0,1.2109193299236602,21.96062212832411
36,4.799999999999997,228.79428571428573,0.0,2.3109523809523806,231.1052380952381,33.95225811772344,0.0,1.8142132843934973,34.25171736760633
37,4.849999999999997,232.15666666666667,0.0,1.762857142857143,233.9195238095238,26.430407010472404,0.0,1.4502573076883292,26.811392005448752
38,4.899999999999997,243.18,0.0,2.080476190476191,245.2604761904762,32.888986556820115,0.0,1.4175790579320533,33.60748088152122
39,4.949999999999997,236.85190476190476,0.0,2.142857142857143,238.9947619047619,25.853939681451923,0.0,1.3726532230495434,26.31059988749609
40,4.9999999999999964,238.09904761904764,0.0,2.3814285714285717,240.48047619047617,32.88138896989555,0.0,1.856938267119065,33.51950665364654
41,5.049999999999996,229.63190476190476,0.0,2.3766666666666665,232.00857142857143,27.710883120367306,0.0,1.5351061180422652,27.885769564738336
42,5.099999999999996,240.54095238095232,0.0,2.45047619047619,242.99142857142851,26.84133190459628,0.0,1.6323753958898597,27.461634487180167
43,5.149999999999996,239.9695238095238,0.0,2.597142857142857,242.56666666666663,31.84633250989925,0.0,2.0437706915052343,32.15478262018691
44,5.199999999999996,237.75190476190474,0.0,2.638095238095238,240.38999999999996,29.80595098397226,0.0,1.8117880570637452,30.41854656011579
45,5.249999999999996,238.60142857142856,0.0,2.648095238095238,241.24952380952382,34.817079308359936,0.0,2.068636816032237,35.95276620417998
46,5.299999999999995,234.43428571428572,0.0,1.915714285714286,236.35,31.110404804097783,0.0,1.365514779211451,31.23050657316219
47,5.349999999999995,245.1119047619048,0.0,2.2747619047619048,247.38666666666668,31.761083037132252,0.0,1.2835414620522612,32.17512770185047
48,5.399999999999995,238.79999999999998,0.039523809523809524,2.6219047619047617,241.46142857142857,24.08920948485944,0.2128422280915066,1.8013137055381656,23.942385820454692
49,5.449999999999995,237.2390476190476,0.0,2.7576190476190474,239.99666666666664,30.403533390551594,0.0,1.7788840166439186,30.47429399233173
50,5.499999999999995,246.2766666666667,0.0,2.9804761904761903,249.25714285714287,21.123221088673898,0.0,1.3334446382113518,21.59640433665079
51,5.5499999999999945,248.39238095238096,0.0,3.2885714285714287,251.6809523809524,27.151683961590916,0.0,1.8590407884339775,27.514537983646292
52,5.599999999999994,237.15714285714287,0.0,2.8085714285714283,239.96571428571434,22.437713332508658,0.0,2.0852856702453533,23.022937866988453
53,5.649999999999994,247.85095238095238,0.13333333333333333,2.839047619047619,250.82333333333332,26.78354192672413,0.7180219742846006,1.3677676003681256,27.30996615658692
54,5.699999999999994,245.3609523809524,0.0,2.603333333333333,247.96428571428572,27.208930590063165,0.0,1.6019405041026982,28.26687293356265
55,5.749999999999994,245.2357142857143,0.0,2.5,247.7357142857143,25.574536057528455,0.0,1.8393839548428526,25.82135954676937
56,5.799999999999994,246.42476190476197,0.0,2.6395238095238094,249.06428571428575,27.653252612402603,0.0,2.0586954568675244,28.461501327637816
57,5.849999999999993,243.51761904761906,0.0,2.873333333333333,246.3909523809524,23.438606353630618,0.0,1.5615043040638659,24.000665660647726
58,5.899999999999993,249.2109523809524,0.0,2.991904761904762,252.20285714285717,21.503865079996316,0.0,1.7521131394732303,21.69286800884059
59,5.949999999999993,244.2204761904762,0.0,2.5885714285714285,246.80904761904767,29.436772015831128,0.0,1.6746586615346606,29.313085347031596
60,5.999999999999993,251.4985714285714,0.0,2.2890476190476194,253.78761904761907,22.146621292961996,0.0,1.6979126173734111,22.405780574990086
