,de-values,s*,i*,r*
0,0.0,100.0,100.00000000000003,199.99999999999994
1,0.1,110.00000000000003,108.75,181.25
2,0.2,120.0,115.29411764705881,164.7058823529412
3,0.30000000000000004,130.0,120.0,150.0
4,0.4,140.00000000000003,123.15789473684208,136.84210526315792
5,0.5,150.0,125.00000000000003,124.99999999999997
6,0.6000000000000001,160.0,125.71428571428571,114.28571428571429
7,0.7000000000000001,170.0,125.45454545454545,104.54545454545455
8,0.8,180.00000000000003,124.3478260869565,95.65217391304347
9,0.9,190.0,122.5,87.5
10,1.0,200.0,120.0,80.0
11,1.1,210.00000000000006,116.92307692307693,73.07692307692307
12,1.2000000000000002,220.00000000000006,113.3333333333333,66.66666666666666
13,1.3,230.0,109.28571428571426,60.71428571428574
14,1.4000000000000001,240.0,104.82758620689651,55.17241379310349
15,1.5,249.99999999999994,100.00000000000003,49.999999999999986
16,1.6,260.0,94.83870967741936,45.16129032258063
17,1.7000000000000002,270.00000000000006,89.375,40.62499999999994
18,1.8,280.0,83.63636363636363,36.363636363636374
19,1.9000000000000001,290.0,77.64705882352939,32.35294117647061
20,2.0,300.0,71.42857142857144,28.571428571428555
21,2.1,310.0,65.0,25.0
22,2.2,320.0,58.37837837837841,21.621621621621593
23,2.3000000000000003,330.0,51.57894736842104,18.42105263157892
24,2.4000000000000004,339.99999999999744,44.61538461538637,15.384615384616168
25,2.5,349.9999999994593,37.50000000038504,12.500000000155666
26,2.6,359.999999914041,30.243902501656112,9.75609758430286
27,2.7,369.9999891181854,22.857150943303303,7.142859938511329
28,2.8000000000000003,379.9989079332884,15.349662719180282,4.651429347531328
29,2.9000000000000004,389.9235665142337,7.7859247594982035,2.2905087262680803
