,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.5,287.1812031030978,165.8408909113879,0.0
2,1.0,221.36230098115115,217.7789875348331,0.0
3,1.5,187.61069475680426,219.4331396600976,0.0
4,2.0,186.63639583672358,204.2556972008078,9.107906962468633
5,2.5,194.84485687870165,194.85914410165435,10.295999019644
6,3.0,200.52068659277796,192.88765613221778,6.591657275004252
7,3.5,201.88351444024528,194.28448013643515,3.832005423319572
8,4.0,201.08029591108243,195.80250186057765,3.11720222833992
9,4.5,200.14741649669125,196.38116533483512,3.471418168473633
10,5.0,199.77714165856767,196.3072914499129,3.9155668915194326
11,5.5,199.8109337543797,196.08811908578298,4.100947159837318
12,6.0,199.94227262450585,195.96684015496604,4.090887220528117
13,6.5,200.0181512039978,195.95228509943348,4.029563696568715
14,7.0,200.0289330721495,195.97861201411865,3.992454913731848
15,7.5,200.01354523819515,196.00012699846988,3.9863277633349696
16,8.0,200.00030002228416,196.0064059726751,3.993294005040724
17,8.5,199.9961920872667,196.00414934978807,3.9996585629452284
18,9.0,199.99742246822757,196.0008183827379,4.001759149034541
19,9.5,199.9994409541067,195.9993083351468,4.001250710746518
20,10.0,200.00039654345244,195.99930600438864,4.000297452158918
21,10.5,200.00042444186462,195.99975086244459,3.9998246956907906
22,11.0,200.0001601956276,196.00004231352165,3.999797490850767
23,11.5,199.99997923616127,196.00010130339103,3.9999194604476997
24,12.0,199.99993907359803,196.00005370411418,4.000007222287792
25,12.5,199.9999663161918,196.0000051551718,4.000028528636392
26,13.0,199.9999959944357,195.99998749408803,4.000016511476275
27,13.5,200.00000733914402,195.99999030217128,4.0000023586846964
28,14.0,200.00000598097333,195.9999973583022,3.999996660724463
29,14.5,200.00000173968186,196.00000114012914,3.9999971201889934
30,15.0,199.999999369041,196.00000152610005,3.9999991048589436
31,15.5,199.9999990733388,196.00000066043458,4.000000266226607
32,16.0,199.9999995808466,195.9999999805358,4.0000004386176045
33,16.5,199.9999999999678,195.99999979204847,4.000000207983732
34,17.0,200.000000123884,195.99999986983573,4.00000000628026
35,17.5,200.00000008098064,195.99999997639617,3.999999942623191
36,18.0,200.00000001630823,196.00000002305,3.999999960641759
37,18.5,199.99999998672064,196.00000002204308,3.9999999912362796
38,19.0,199.9999999864997,196.0000000075937,4.0000000059066
39,19.5,199.9999999951016,195.99999999844718,4.0000000064512164
40,20.0,200.00000000078919,195.9999999967403,4.0000000024705
41,20.5,200.00000000196383,195.9999999983285,3.9999999997076827
42,21.0,200.00000000105027,195.99999999987108,3.9999999990786534
43,21.5,200.00000000010596,196.00000000040987,3.9999999994841744
44,22.0,199.99999999975876,196.00000000030602,3.999999999935227
45,22.5,199.999999999811,196.00000000007884,4.0000000001101625
46,23.0,199.9999999999478,195.99999999996106,4.000000000091148
47,23.5,200.00000000002174,195.99999999995123,4.000000000027029
48,24.0,200.00000000002964,195.99999999997962,3.9999999999907345
49,24.5,200.00000000001296,196.00000000000108,3.9999999999859597
50,25.0,199.99999999999972,196.00000000000674,3.9999999999935483
51,25.5,199.999999999996,196.0000000000041,3.9999999999999147
52,26.0,199.99999999999744,196.0000000000007,4.000000000001847
53,26.5,199.99999999999952,195.99999999999926,4.000000000001222
54,27.0,200.00000000000043,195.99999999999932,4.000000000000256
55,27.5,200.00000000000045,195.99999999999977,3.9999999999997726
56,28.0,200.00000000000017,196.00000000000006,3.9999999999997726
57,28.5,199.99999999999997,196.0000000000001,3.9999999999999147
58,29.0,199.99999999999994,196.00000000000006,4.0
59,29.5,199.99999999999997,196.0,4.000000000000028
60,30.0,200.0,196.0,4.0
61,30.5,200.0,196.0,4.0
62,31.0,200.0,196.0,4.0
63,31.5,200.0,196.0,4.0
64,32.0,200.0,196.0,4.0
65,32.5,200.0,196.0,4.0
66,33.0,200.0,196.0,4.0
67,33.5,200.0,196.0,4.0
68,34.0,200.0,196.0,4.0
69,34.5,200.0,196.0,4.0
70,35.0,200.0,196.0,4.0
71,35.5,200.0,196.0,4.0
72,36.0,200.0,196.0,4.0
73,36.5,200.0,196.0,4.0
74,37.0,200.0,196.0,4.0
75,37.5,200.0,196.0,4.0
76,38.0,200.0,196.0,4.0
77,38.5,200.0,196.0,4.0
78,39.0,200.0,196.0,4.0
79,39.5,200.0,196.0,4.0
80,40.0,200.0,196.0,4.0
81,40.5,200.0,196.0,4.0
82,41.0,200.0,196.0,4.0
83,41.5,200.0,196.0,4.0
84,42.0,200.0,196.0,4.0
85,42.5,200.0,196.0,4.0
86,43.0,200.0,196.0,4.0
87,43.5,200.0,196.0,4.0
88,44.0,200.0,196.0,4.0
89,44.5,200.0,196.0,4.0
90,45.0,200.0,196.0,4.0
91,45.5,200.0,196.0,4.0
92,46.0,200.0,196.0,4.0
93,46.5,200.0,196.0,4.0
94,47.0,200.0,196.0,4.0
95,47.5,200.0,196.0,4.0
96,48.0,200.0,196.0,4.0
97,48.5,200.0,196.0,4.0
98,49.0,200.0,196.0,4.0
99,49.5,200.0,196.0,4.0
100,50.0,200.0,196.0,4.0
