,samples,cutoff,cycles,time,I,var_mc,var_t,rel_err
0,100.0,1.0,10.0,0.0015415039961226285,0.1337642719793647,0.0034671323755256097,0.02068537072727362,0.3060784964605529
1,100.0,1.0,100.0,0.013280383980600163,0.1421345795529124,0.005370224830891368,0.29141776551299003,0.2626563155554763
2,100.0,1.0,500.0,0.10432892001699656,0.16751272221030297,0.01617588491684765,0.9141863747505005,0.13100353077770135
3,100.0,2.0,10.0,0.001865205995272845,0.28204038222111805,0.13458610310354774,0.8632458528872691,0.46312526651294916
4,100.0,2.0,100.0,0.013202876987634227,0.0960197151552404,0.017495292028263696,0.6521265488147275,0.5018838429425113
5,100.0,2.0,500.0,0.06785192698589526,0.15485416139950614,0.1461419232547088,14.426460242670885,0.1966716454430938
6,100.0,3.0,10.0,0.0014777879987377673,0.057352423220949175,0.011134547197673587,0.12601203249536894,0.7024760112382531
7,100.0,3.0,100.0,0.013328127999557182,0.4926273303334382,10.431492018627988,864.1799246041384,1.5555755112421827
8,100.0,3.0,500.0,0.06994086501072161,0.15063860260297857,0.3637392240709263,29.65904190888477,0.21854046628036958
9,100.0,4.0,10.0,0.0014315919834189117,0.03338355696014265,0.00437539206615982,0.03919581956928039,0.8268179709238755
10,100.0,4.0,100.0,0.01428591599687934,0.042353029951055714,0.05051900216449652,4.226678613979742,0.7802875327754062
11,100.0,4.0,500.0,0.06655280498671345,0.056556859165734635,0.09064684956802341,15.73964299860371,0.7066031148152201
12,100.0,5.0,10.0,0.001615972985746339,0.0009089466394090504,2.017463941519302e-06,1.506745906485672e-05,0.9952847078721203
13,100.0,5.0,100.0,0.013191863021347672,0.010325364676203723,0.002171287098903329,0.1720512003148547,0.9464356776687746
14,100.0,5.0,500.0,0.0687753870151937,0.03570326421307625,0.131839062018229,55.936992592615645,0.814784154113843
15,100.0,6.0,10.0,0.0017201000009663403,0.00025939321161234723,3.179797610418286e-07,3.22608326640407e-06,0.9986543602058573
16,100.0,6.0,100.0,0.014153398980852216,0.0028513479959470346,0.00025932673317503494,0.012149756281716176,0.9852082199590113
17,100.0,6.0,500.0,0.06852247301139869,0.014389702150040106,0.02154727523472066,8.41831633639349,0.925351339309939
18,100.0,7.0,10.0,0.0014995060046203434,0.01317572098925214,0.00084527109084085,0.008626041861337896,0.9316490421262223
19,100.0,7.0,100.0,0.014294602005975321,0.003947784940532032,0.0007765370925051386,0.06982997437685914,0.9795202947614668
20,100.0,7.0,500.0,0.06447235398809426,0.04566149518362997,0.3824542385778633,138.60037871594196,0.7631243909691242
21,100.0,8.0,10.0,0.0014055709762033075,0.032784513537723395,0.009672505588093806,0.10610269573563084,0.8299255953008445
22,100.0,8.0,100.0,0.013560195977333933,0.0014647153872097128,4.521906785314615e-05,0.0032134607970840602,0.9924015771273609
23,100.0,8.0,500.0,0.06661311301286332,0.04715999045147688,1.0384050798979716,514.9830749838802,0.7553507300810247
24,100.0,9.0,10.0,0.0022783380118198693,1.9542562435763036e-08,1.4112745028618305e-15,8.146221481102885e-15,0.9999998986201315
25,100.0,9.0,100.0,0.012915298022562638,5.917095113731971e-05,6.403455983136913e-08,1.9736320679326066e-06,0.9996930421347083
26,100.0,9.0,500.0,0.06777196802431718,8.958937569042587e-05,1.9841429524916054e-06,0.000961849898788395,0.9995352421587593
27,100.0,10.0,10.0,0.001386358984746039,9.914875606215618e-08,7.406854123073829e-14,7.058546018404988e-13,0.9999994856514908
28,100.0,10.0,100.0,0.01381499698618427,5.831253312829311e-06,8.840368688200776e-10,6.223541114205454e-08,0.999969749530226
29,100.0,10.0,500.0,0.0678295569960028,0.001238408882199755,0.00021474263067582919,0.07235266447401179,0.9935755748465837
30,1000.0,1.0,10.0,0.003904835000867024,0.1700251349688542,0.0013911983743225191,0.009608490354650629,0.11797002629158179
31,1000.0,1.0,100.0,0.03020968398777768,0.16741278312285143,0.0018054915241922176,0.04506618443874258,0.13152197924529688
32,1000.0,1.0,500.0,0.12214672300615348,0.1625883043692184,0.0013584237832620074,0.04352749450313813,0.15654966041139787
33,1000.0,2.0,10.0,0.002327682013856247,0.11715648379548249,0.003422082853414759,0.007569038810749325,0.3922337991919283
34,1000.0,2.0,100.0,0.023259415000211447,0.21201992179468981,0.046281399476921295,0.7476281740113746,0.09988400291808558
35,1000.0,2.0,500.0,0.15946749100112356,0.1919416553069451,0.06650617775007665,6.526654258470933,0.004274907854372849
36,1000.0,3.0,10.0,0.0025584539980627596,0.2401552045402274,0.11353622517961656,0.9417217958280181,0.2458398505924388
37,1000.0,3.0,100.0,0.024927354010287672,0.08368099173885651,0.015246579678338357,0.5791908330654624,0.5658927548751037
38,1000.0,3.0,500.0,0.1215110509947408,0.2829116742089067,5.272511665997038,2467.387920524591,0.46764521969059186
39,1000.0,4.0,10.0,0.0028370879881549627,0.4637174928398372,1.186972269042993,13.61749155250822,1.4056015488097073
40,1000.0,4.0,100.0,0.024653103988384828,0.159520095234746,0.5589925689079105,54.698391766069705,0.172466438967147
41,1000.0,4.0,500.0,0.12254586201743223,0.1478692329469132,0.3412487255539276,48.18777674684221,0.23290697182895026
42,1000.0,5.0,10.0,0.003303122997749597,0.14363400794521966,0.08444336547935699,0.8948540481898637,0.2548778139493067
43,1000.0,5.0,100.0,0.024155018996680155,0.10012492258576129,0.16013530608134074,7.906575507847666,0.48058748577347726
44,1000.0,5.0,500.0,0.11487860599299893,0.27703005168257216,19.46609921278791,9659.619209543418,0.43713345233798234
