,N,I,time,rel_err
0,2,3.621870197442208e-07,0.0013079643249511719,0.999998121102462
1,3,0.10867179206831323,0.018104076385498047,0.43624936443414986
2,4,0.0009370473690685946,0.05318903923034668,0.995138931273576
3,5,0.2642489706549215,0.18281102180480957,0.3708297463309324
4,6,0.013032418011078335,0.5452258586883545,0.9323924470474662
5,7,0.32952507166968753,1.3738939762115479,0.709458959431625
6,8,0.04063840850539819,3.079597234725952,0.7891823794632812
7,9,0.3215183066135866,6.23640513420105,0.6679227079049559
8,10,0.07197967680971633,11.991585969924927,0.6265950181092664
9,11,0.2912606458419545,23.774247884750366,0.510956717319095
10,12,0.09903201571849424,40.81590700149536,0.48625709818447693
11,13,0.2618210090313711,67.8927071094513,0.35823434431947415
12,14,0.12003676759033707,105.74856495857239,0.3772919105099181
13,15,0.2390882906966473,170.44883799552917,0.2403050807504711
14,16,0.13575193863542814,231.95685601234436,0.29576718826068055
15,17,0.22293253123070186,3245.1761000156403,0.15649474235786975
16,18,0.14742228181664105,665.6383538246155,0.23522559544748237
