,time,S,I,R,N
0,0.0,300.0,100.0,0.0,400.0
1,0.5,174.0066654077543,168.1237879817314,57.869546610514305,400.0
2,1.0,113.73654843173935,174.7219585526024,111.54149301565823,400.0
3,1.5,102.60845137920883,154.5969569480472,142.794591672744,400.0
4,2.0,108.45479775876146,136.29181359549202,155.25338864574653,400.0
5,2.5,117.34302917932042,125.09395338593161,157.56301743474796,400.0
6,3.0,124.52483273526929,119.65707148713989,155.81809577759083,400.0
7,3.5,128.90512002128406,117.83043447187063,153.2644455068453,400.0
8,4.0,130.88212650789043,117.8607960942607,151.25707739784883,400.0
9,4.5,131.3288247999371,118.56716828312315,150.1040069169397,400.0
10,5.0,131.05888341496632,119.29782667204734,149.64328991298635,400.0
11,5.5,130.61135770765455,119.7987363254998,149.58990596684566,400.0
12,6.0,130.24559400709563,120.04971075621549,149.70469523668888,400.0
13,6.5,130.03040467755034,120.12575163701541,149.84384368543425,400.0
14,7.0,129.94135325501503,120.11238310120801,149.94626364377694,400.0
15,7.5,129.92789623113526,120.0705590009791,150.00154476788563,400.0
16,8.0,129.94662404381296,120.03202476502732,150.02135119115974,400.0
17,8.5,129.97102880529457,120.00735140083799,150.02161979386744,400.0
18,9.0,129.98950946435707,119.99587002141487,150.01462051422806,400.0
19,9.5,129.99974658671053,119.99300553895733,150.0072478743321,400.0
20,10.0,130.0035929741829,119.99424869250404,150.00215833331308,400.0
21,10.5,130.00382738857965,119.99659374539627,149.99957886602405,400.0
22,11.0,130.00265705966927,119.99857403025338,149.99876891007733,400.0
23,11.5,130.0013545571231,119.99977011510632,149.99887532777055,400.0
24,12.0,130.0004310738505,120.00028525973147,149.99928366641802,400.0
25,12.5,129.99995009031488,120.0003809743915,149.9996689352936,400.0
26,13.0,129.9997896698391,120.0002910871505,149.99991924301042,400.0
27,13.5,129.9997997504013,120.00016248364486,150.00003776595386,400.0
28,14.0,129.9998691962994,120.00006186795976,150.00006893574084,400.0
29,14.5,129.99993766586888,120.00000457169592,150.00005776243523,400.0
30,15.0,129.99998329854043,119.99998200919696,150.0000346922626,400.0
31,15.5,130.00000555570873,119.99997962163854,150.0000148226527,400.0
32,16.0,130.00001191337395,119.99998543404566,150.0000026525804,400.0
33,16.5,130.00001033933506,119.99999235252875,149.9999973081362,400.0
34,17.0,130.00000636640848,119.99999740631335,149.9999962272782,400.0
35,17.5,130.00000281595015,120.00000011553175,149.9999970685181,400.0
36,18.0,130.00000058637536,120.00000107349094,149.99999834013374,400.0
37,18.5,129.99999957429884,120.00000107321057,149.9999993524906,400.0
38,19.0,129.99999934202182,120.00000072078093,149.99999993719723,400.0
39,19.5,129.99999947264766,120.00000035460387,150.00000017274846,400.0
40,20.0,129.9999996937903,120.00000010358642,150.00000020262328,400.0
41,20.5,129.99999987560682,119.99999997730777,150.00000014708542,400.0
42,21.0,129.99999998327846,119.9999999383384,150.0000000783831,400.0
43,21.5,130.00000002834724,119.9999999442566,150.00000002739614,400.0
44,22.0,130.000000035608,119.9999999647322,149.99999999965985,400.0
45,22.5,130.00000002658717,119.999999983837,149.99999998957585,400.0
46,23.0,130.00000001454282,119.99999999616595,149.9999999892912,400.0
47,23.5,130.00000000534112,120.00000000195666,149.99999999270221,400.0
48,24.0,130.0000000002052,120.00000000344292,149.99999999635187,400.0
49,24.5,129.99999999824993,120.00000000285897,149.99999999889113,400.0
50,25.0,129.99999999810572,120.00000000170574,150.0000000001885,400.0
51,25.5,129.99999999867458,120.00000000072185,150.00000000060356,400.0
52,26.0,129.9999999993188,120.00000000012321,150.000000000558,400.0
53,26.5,129.99999999977925,119.9999999998627,150.00000000035809,400.0
54,27.0,130.00000000002098,119.999999999812,150.000000000167,400.0
55,27.5,130.00000000010294,119.99999999985509,150.00000000004195,400.0
56,28.0,130.00000000009928,119.9999999999185,149.99999999998226,400.0
57,28.5,130.00000000006534,119.99999999996857,149.99999999996606,400.0
58,29.0,130.0000000000314,119.99999999999729,149.99999999997135,400.0
59,29.5,130.00000000000864,120.00000000000874,149.9999999999826,400.0
60,30.0,129.9999999999974,120.00000000001009,149.99999999999253,400.0
61,30.5,129.99999999999415,120.00000000000728,149.99999999999858,400.0
62,31.0,129.99999999999486,120.00000000000385,150.00000000000125,400.0
63,31.5,129.99999999999682,120.00000000000134,150.00000000000185,400.0
64,32.0,129.99999999999858,119.99999999999997,150.00000000000145,400.0
65,32.5,129.9999999999997,119.99999999999949,150.00000000000085,400.0
66,33.0,130.0000000000002,119.99999999999947,150.00000000000028,400.0
67,33.5,130.0000000000003,119.99999999999964,150.0,400.0
68,34.0,130.00000000000026,119.99999999999982,149.99999999999994,400.0
69,34.5,130.00000000000014,119.99999999999994,149.99999999999994,400.0
70,35.0,130.00000000000006,120.0,149.99999999999994,400.0
71,35.5,130.0,120.00000000000003,149.99999999999997,400.0
72,36.0,129.99999999999997,120.00000000000003,149.99999999999997,400.0
73,36.5,129.99999999999997,120.00000000000001,150.0,400.0
74,37.0,129.99999999999997,120.0,150.0,400.0
75,37.5,130.0,119.99999999999999,150.0,400.0
76,38.0,130.0,119.99999999999999,150.0,400.0
77,38.5,130.0,119.99999999999999,150.0,400.0
78,39.0,130.0,119.99999999999999,150.0,400.0
79,39.5,130.0,119.99999999999999,150.0,400.0
80,40.0,130.0,119.99999999999999,150.0,400.0
81,40.5,130.0,119.99999999999999,150.0,400.0
82,41.0,130.0,119.99999999999999,150.0,400.0
83,41.5,130.0,119.99999999999999,150.0,400.0
84,42.0,130.0,119.99999999999999,150.0,400.0
85,42.5,130.0,119.99999999999999,150.0,400.0
86,43.0,130.0,119.99999999999999,150.0,400.0
87,43.5,130.0,119.99999999999999,150.0,400.0
88,44.0,130.0,119.99999999999999,150.0,400.0
89,44.5,130.0,119.99999999999999,150.0,400.0
90,45.0,130.0,119.99999999999999,150.0,400.0
91,45.5,130.0,119.99999999999999,150.0,400.0
92,46.0,130.0,119.99999999999999,150.0,400.0
93,46.5,130.0,119.99999999999999,150.0,400.0
94,47.0,130.0,119.99999999999999,150.0,400.0
95,47.5,130.0,119.99999999999999,150.0,400.0
96,48.0,130.0,119.99999999999999,150.0,400.0
97,48.5,130.0,119.99999999999999,150.0,400.0
98,49.0,130.0,119.99999999999999,150.0,400.0
99,49.5,130.0,119.99999999999999,150.0,400.0
100,50.0,130.0,119.99999999999999,150.0,400.0
101,50.5,130.0,119.99999999999999,150.0,400.0
102,51.0,130.0,119.99999999999999,150.0,400.0
103,51.5,130.0,119.99999999999999,150.0,400.0
104,52.0,130.0,119.99999999999999,150.0,400.0
105,52.5,130.0,119.99999999999999,150.0,400.0
106,53.0,130.0,119.99999999999999,150.0,400.0
107,53.5,130.0,119.99999999999999,150.0,400.0
108,54.0,130.0,119.99999999999999,150.0,400.0
109,54.5,130.0,119.99999999999999,150.0,400.0
110,55.0,130.0,119.99999999999999,150.0,400.0
111,55.5,130.0,119.99999999999999,150.0,400.0
112,56.0,130.0,119.99999999999999,150.0,400.0
113,56.5,130.0,119.99999999999999,150.0,400.0
114,57.0,130.0,119.99999999999999,150.0,400.0
115,57.5,130.0,119.99999999999999,150.0,400.0
116,58.0,130.0,119.99999999999999,150.0,400.0
117,58.5,130.0,119.99999999999999,150.0,400.0
118,59.0,130.0,119.99999999999999,150.0,400.0
