,time,S,I,R,N
0,0.0,300.0,100.0,0.0,400.0
1,0.5,236.55330779550582,100.28038153271024,43.076846842803604,379.91053617101966
2,1.0,209.8198493704931,84.83128524237915,69.23913329488877,363.89026790776103
3,1.5,208.59525521889466,69.27650196784059,80.68125146561128,358.55300865234653
4,2.0,221.21764720650523,58.6820940667807,83.19468267425543,363.0944239475414
5,2.5,240.48477435583982,52.87131689775609,81.59387050757627,374.9499617611722
6,3.0,262.35849838911133,50.64046050180803,78.86219787495162,391.861156765871
7,3.5,284.58756290745066,50.958025857663024,76.60567459196403,412.1512633570777
8,4.0,305.9509360844035,53.071155520527846,75.57958310373635,434.6016747086677
9,4.5,325.88917823054146,56.40584774261812,76.03966564298945,458.33469161614903
10,5.0,344.3168102123911,60.490693723202135,77.94806958990978,482.755573525503
11,5.5,361.49342339194163,64.9345541264437,81.09771141320856,507.5256889315939
12,6.0,377.89729546579514,69.43837155645794,85.19860731879503,532.5342743410481
13,6.5,394.09470952437704,73.81225758522469,89.94546642692525,557.852433536527
14,7.0,410.6250116935872,77.97709932327213,95.06928887079822,583.6713998876576
15,7.5,427.92315848567665,81.94548207196374,100.36953612920007,610.2381766868405
16,8.0,446.2875421372182,85.78952230930818,105.72535910983262,637.802423556359
17,8.5,465.88565165805375,89.60736309717709,111.08925208334921,666.58226683858
18,9.0,486.78245145837,93.49696317444486,116.46991759732967,696.7493322301445
19,9.5,508.97669729883006,97.5403216287684,121.91151597810969,728.4285349057081
20,10.0,532.4349234761123,101.7971330163209,127.47465241526676,761.7067089077
21,10.5,557.1178682194117,106.3050699639869,133.22195657116782,796.6448947545664
22,11.0,582.9978736693844,111.08379008160632,139.20901224475205,833.2906759957427
23,11.5,610.0680218501764,116.1404081216412,145.48007628455554,871.6885062563731
24,12.0,638.3448077512878,121.47494244229776,152.0674149949066,911.8871651884922
25,12.5,667.86644175294,127.08488747639043,158.9929576543424,953.9442868836728
26,13.0,698.6887357153025,132.96853789763912,166.27110944402688,997.9283830569685
27,13.5,730.8801616026368,139.12701923404157,173.91183234920365,1043.919013185882
28,14.0,764.5172096911856,145.56519118442054,181.92340082502017,1092.0058017006263
29,14.5,799.6807091221345,152.29170306670252,190.31451464856812,1142.2869268374052
30,15.0,836.453373624945,159.31851306308462,199.09567358802238,1194.867560276052
31,15.5,874.9185386821308,166.66015519596954,208.27987373144958,1249.85856760955
32,16.0,915.159874519109,174.33297425752028,217.8827736131717,1307.375622389801
33,16.5,957.2617807898297,182.35447209840717,227.92250971860906,1367.538762606846
34,17.0,1001.3101687199407,190.74283647115163,238.4193311836438,1430.4723363747362
35,17.5,1047.3933853668434,199.5166666753494,249.39518940898958,1496.3052414511824
36,18.0,1095.6031057502305,208.69487254245934,260.8733746726079,1565.1713529652977
37,18.5,1146.0350915366234,218.29670387922485,272.87824951844414,1637.2100449342925
38,19.0,1198.7897769033518,228.3418626004403,285.43509425626974,1712.5667337600619
39,19.5,1253.9726871275016,238.850654651914,298.57005604083776,1791.3933978202533
40,20.0,1311.6947224533649,249.84414890486627,312.3101796208224,1873.8490509790536
41,20.5,1372.0723512831403,261.3443218462056,326.68349316794604,1960.100166297292
42,21.0,1435.2277567290002,273.37417759477773,341.71912407540424,2050.321058399182
43,21.5,1501.2889734271841,285.9578411493892,357.4474246709915,2144.694239247565
44,22.0,1570.39004112084,299.12062833587385,373.90009423903683,2243.4107636957506
45,22.5,1642.6711908073862,312.88909882480635,391.11029000289085,2346.6705796350834
46,23.0,1718.2790700976934,327.2910993696804,409.11272483416735,2454.682894301541
47,23.5,1797.3670077612935,342.3558037453273,427.9437530219544,2567.6665645285752
48,24.0,1880.0953133961104,358.11375440694655,447.6414474569726,2685.8505152600296
49,24.5,1966.631606430932,374.59690918061864,468.24567231704606,2809.4741879285966
50,25.0,2057.1511686596473,391.8386947128554,489.7981551512587,2938.7880185237614
51,25.5,2151.8373155727554,409.87406716275916,512.3425615318052,3074.05394426732
52,26.0,2250.881783316619,428.7395797923902,535.9245745000505,3215.54593760906
53,26.5,2354.4851297343953,448.4734566783367,560.5919801138967,3363.5505665266287
54,27.0,2462.8571493419367,469.1156716525455,586.3947596508181,3518.3675806453
55,27.5,2576.2173031288626,490.7080316828647,613.3851884967189,3680.310523308446
56,28.0,2694.795164723237,513.2942641255564,641.6179414561246,3849.707370304918
57,28.5,2818.830884765774,536.9201075429125,671.1502041170736,4026.90119642576
58,29.0,2948.575675392086,561.6334060228229,702.041789940018,4212.250871354927
59,29.5,3084.292316614789,587.484207131648,734.3552628576149,4406.131786604052
60,30.0,3226.255686217054,614.5248637652865,768.1560653231465,4608.936615305487
61,30.5,3374.753314581192,642.8101402386708,803.5126518940672,4821.07610671393
62,31.0,3530.085965722538,672.3973229824119,840.496628562274,5042.979917267224
63,31.5,3692.568245701336,703.3463362117639,879.1828981347455,5275.097480047845
64,32.0,3862.5292395479255,735.7198629120094,919.6498120268516,5517.898914486786
65,32.5,4040.313177852491,769.5834714577792,961.9793288613185,5771.875978171589
66,33.0,4226.280134227554,805.0057481601319,1006.257180276562,6037.543062664248
