,time,S,I,R,N
0,0.0,300.0,100.0,0.0,400.0
1,0.5,227.54033793216726,32.555546617328375,21.992059652324414,282.08794420182005
2,1.0,207.4969401888561,11.604136945669694,22.39504893979273,241.4961260743185
3,1.5,203.92828469831673,4.498704827394394,17.89623975430811,226.32322928001923
4,2.0,205.19797558737278,1.8646704210308718,13.162349261250903,220.22499526965456
5,2.5,207.49811220702068,0.8118487321725492,9.321173528539575,217.6311344677328
6,3.0,209.6455008477691,0.3659689115682478,6.469800973670627,216.481270733008
7,3.5,211.34916468591769,0.16899045192891543,4.438319322869636,215.95647446071624
8,4.0,212.61025130812834,0.07932833541604814,3.0225127363695234,215.7120923799139
9,4.5,213.51053220384367,0.03765744465954465,2.048526664847628,215.59671631335084
10,5.0,214.13979099792863,0.018011852667911603,1.38393239848483,215.54173524908137
11,5.5,214.57383655209722,0.008659281125522743,0.9328731086181906,215.51536894184093
12,6.0,214.87064626656021,0.00417731511827495,0.6278474529094442,215.50267103458793
13,6.5,215.07242635727016,0.002019834851455019,0.4220920542187064,215.49653824634032
14,7.0,215.20904930880872,0.0009781568179515116,0.2835430846521367,215.4935705502788
15,7.5,215.30129368421322,0.00047419137312427204,0.19036472998390314,215.49213260557025
16,8.0,215.36345016183813,0.000230039556161841,0.1277550686562805,215.49143527005057
17,8.5,215.40527295909314,0.00011164908246830303,0.0857122899922177,215.49109689816783
18,9.0,215.43338522422485,5.420563991257219e-05,0.05749321413458128,215.49093264399934
19,9.5,215.4522677271464,2.6322398510076914e-05,0.03855884048199843,215.4908528900269
20,10.0,215.4649440539228,1.2784033940208594e-05,0.02585732054831315,215.49081415850506
21,10.5,215.47345075963614,6.209427900097304e-06,0.017338377744104724,215.49079534680814
22,11.0,215.47915778144363,3.0162191952560156e-06,0.011625411680896964,215.49078620934372
23,11.5,215.48298577305047,1.4651859319283615e-06,0.007794532503026849,215.49078177073943
24,12.0,215.48555303214528,7.117623379548064e-07,0.0052258706638799194,215.4907796145715
25,12.5,215.48727459554618,3.4576863637908836e-07,0.003503625816837285,215.49077856713166
26,13.0,215.4884289613778,1.6797388785035216e-07,0.0023489289384948696,215.49077805829018
27,13.5,215.48920295983092,8.160216760363364e-08,0.0015747696615725254,215.49077781109466
28,14.0,215.4897219026087,3.9642782130656774e-08,0.0010557487545839557,215.49077769100606
29,14.5,215.4900698281846,1.925875635285786e-08,0.0007077852228789684,215.49077763266624
30,15.0,215.49030309028566,9.356070378705903e-09,0.0004745046825444918,215.49077760432428
31,15.5,215.4904594754141,4.545267812367267e-09,0.00031811059612908953,215.4907775905555
32,16.0,215.49056431902392,2.208136831711056e-09,0.00021326263444882698,215.4907775838665
33,16.5,215.49063460764697,1.0727359277210035e-09,0.00014297189720366435,215.4907775806169
34,17.0,215.49068172985255,5.211465874109549e-10,9.584866452270705e-05,215.49077757903822
35,17.5,215.4907133209254,2.531786752733677e-10,6.42570927046587e-05,215.4907775782713
36,18.0,215.49073449974887,1.2299698065069323e-10,4.3078026846742064e-05,215.4907775778987
37,18.5,215.49074869811383,5.975329329911353e-11,2.887954410703898e-05,215.4907775777177
38,19.0,215.4907582167374,2.902881371226745e-11,1.936086333783513e-05,215.49077757762976
39,19.5,215.49076459804192,1.4102521198175265e-11,1.297953101617528e-05,215.49077757758704
40,20.0,215.49076887607782,6.851162282726623e-12,8.701481617269933e-06,215.4907775775663
41,20.5,215.49077174407768,3.328371251031524e-12,5.833475196747811e-06,215.4907775775562
42,21.0,215.49077366678696,1.6169600083434005e-12,3.910762731842323e-06,215.4907775775513
43,21.5,215.49077495577234,7.855372820245247e-13,2.621775802292745e-06,215.49077757754893
44,22.0,215.49077581990866,3.8162281330600597e-13,1.757638715754437e-06,215.49077757754776
45,22.5,215.49077639922592,1.8539663986360153e-13,1.1783210844935081e-06,215.4907775775472
46,23.0,215.49077678760034,9.006776592723797e-14,7.899464785345518e-07,215.4907775775469
47,23.5,215.4907770479666,4.3755930466743636e-14,5.295801332884782e-07,215.49077757754677
48,24.0,215.49077722251616,2.125712162415543e-14,3.5503052947892464e-07,215.4907775775467
49,24.5,215.4907773395342,1.0326948039107102e-14,2.3801247939027286e-07,215.49077757754668
50,25.0,215.49077741798308,5.016947156870881e-15,1.5956359287320834e-07,215.49077757754668
51,25.5,215.49077747057524,2.437289186917324e-15,1.0697143904523928e-07,215.49077757754668
52,26.0,215.49077750583302,1.184062418289666e-15,7.171365605073297e-08,215.49077757754668
53,26.5,215.49077752946985,5.752308008013527e-16,4.807682727689739e-08,215.49077757754668
54,27.0,215.49077754531598,2.794535736780683e-16,3.223070138368489e-08,215.49077757754668
55,27.5,215.49077755593922,1.3576167990637363e-16,2.1607462350155815e-08,215.49077757754668
56,28.0,215.49077756306104,6.595454654552016e-17,1.4485635736020603e-08,215.49077757754668
57,28.5,215.49077756783552,3.204145833534431e-17,9.711158067848414e-09,215.49077757754668
58,29.0,215.49077757103632,1.55660997772704e-17,6.510362011690533e-09,215.49077757754668
59,29.5,215.49077757318213,7.56218583267311e-18,4.364551379408375e-09,215.49077757754668
60,30.0,215.4907775746207,3.67379468120214e-18,2.9259865604768677e-09,215.49077757754668
61,30.5,215.4907775755851,1.784770654730548e-18,1.9615811179734226e-09,215.49077757754668
62,31.0,215.49077757623164,8.670615988174678e-19,1.3150440727683013e-09,215.49077757754668
63,31.5,215.49077757666507,4.2122824809725055e-19,8.816130044004736e-10,215.49077757754668
64,32.0,215.49077757695565,2.0463740665904613e-19,5.910294474006139e-10,215.49077757754668
65,32.5,215.49077757715045,9.941514699783965e-20,3.962270510698471e-10,215.49077757754668
66,33.0,215.49077757728105,4.829699327202424e-20,2.6562929628825885e-10,215.49077757754668
67,33.5,215.4907775773686,2.346322094329265e-20,1.780904312674483e-10,215.49077757754668
68,34.0,215.49077757742728,1.1398695855317635e-20,1.1939960130572853e-10,215.49077757754668
69,34.5,215.49077757746664,5.537614273680318e-21,8.003553375048007e-11,215.49077757754668
