,time,S,I,R,N
0,0.0,300.0,100,0.0,400.0
1,0.5,308.8158922931102,0,8.517732915377877,312.71815480959646
2,1.0,310.1020780185441,0,2.6160767910523646,312.71815480959646
3,1.5,310.96433692887496,0,1.753817880721499,312.71815480959646
4,2.0,311.5423953023608,0,1.1757595072356821,312.71815480959646
5,2.5,311.92992563594566,0,0.7882291736507909,312.71815480959646
6,3.0,312.18972597158097,0,0.5284288380154862,312.71815480959646
7,3.5,312.36389611659087,0,0.35425869300559043,312.71815480959646
8,4.0,312.4806597818055,0,0.237495027790942,312.71815480959646
9,4.5,312.5589381429654,0,0.15921666663103906,312.71815480959646
10,5.0,312.61141595628703,0,0.10673885330942312,312.71815480959646
11,5.5,312.64659708233785,0,0.07155772725860743,312.71815480959646
12,6.0,312.6701825092423,0,0.04797230035416078,312.71815480959646
13,6.5,312.68599417943904,0,0.032160630157420655,312.71815480959646
14,7.0,312.6965943231389,0,0.02156048645753117,312.71815480959646
15,7.5,312.7037006594753,0,0.014454150121139264,312.71815480959646
16,8.0,312.70846474735526,0,0.009690062241190844,312.71815480959646
17,8.5,312.71165859186993,0,0.006496217726521536,312.71815480959646
18,9.0,312.7137997452326,0,0.004355064363835481,312.71815480959646
19,9.5,312.71523517444695,0,0.0029196351495102135,312.71815480959646
20,10.0,312.71619748619224,0,0.0019573234042127297,312.71815480959646
21,10.5,312.71684261998627,0,0.0013121896101893071,312.71815480959646
22,11.0,312.71727511768177,0,0.0008796919146902837,312.71815480959646
23,11.5,312.71756506413686,0,0.0005897454595924501,312.71815480959646
24,12.0,312.71775944424036,0,0.0003953653560984094,312.71815480959646
25,12.5,312.71788975666175,0,0.00026505293470791,312.71815480959646
26,13.0,312.71797711810905,0,0.0001776914874085378,312.71815480959646
27,13.5,312.7180356852233,0,0.00011912437315686475,312.71815480959646
28,14.0,312.7180749486167,0,7.986097978118778e-05,312.71815480959646
29,14.5,312.7181012707956,0,5.353880084157936e-05,312.71815480959646
30,15.0,312.71811891718437,0,3.589241208601379e-05,312.71815480959646
31,15.5,312.7181307473234,0,2.4062273041636217e-05,312.71815480959646
32,16.0,312.71813867824864,0,1.6131347820191877e-05,312.71815480959646
33,16.5,312.71814399514085,0,1.0814455606578122e-05,312.71815480959646
34,17.0,312.7181475595854,0,7.250011037740478e-06,312.71815480959646
35,17.5,312.71814994918907,0,4.860407386786392e-06,312.71815480959646
36,18.0,312.71815155117935,0,3.2584171094640624e-06,312.71815480959646
37,18.5,312.7181526251536,0,2.184442848829349e-06,312.71815480959646
38,19.0,312.718153345146,0,1.464450463117828e-06,312.71815480959646
39,19.5,312.71815382782887,0,9.817675845624763e-07,312.71815480959646
40,20.0,312.71815415141947,0,6.581769866897957e-07,312.71815480959646
41,20.5,312.7181543683546,0,4.412418661559059e-07,312.71815480959646
42,21.0,312.7181545137879,0,2.958085474347172e-07,312.71815480959646
43,21.5,312.7181546112864,0,1.9831003328363295e-07,312.71815480959646
44,22.0,312.7181546766494,0,1.3294703649080475e-07,312.71815480959646
45,22.5,312.71815472046876,0,8.912769544622279e-08,312.71815480959646
46,23.0,312.71815474984527,0,5.975118710921379e-08,312.71815480959646
47,23.5,312.71815476953924,0,4.005721621069824e-08,312.71815480959646
48,24.0,312.7181547827421,0,2.6854365842154948e-08,312.71815480959646
49,24.5,312.7181547915933,0,1.800316340450081e-08,312.71815480959646
50,25.0,312.7181547975271,0,1.2069335753039923e-08,312.71815480959646
51,25.5,312.7181548015052,0,8.091262770903995e-09,312.71815480959646
52,26.0,312.71815480417206,0,5.4243969316303264e-09,312.71815480959646
53,26.5,312.71815480595995,0,3.636500878201332e-09,312.71815480959646
54,27.0,312.71815480715856,0,2.437900548102334e-09,312.71815480959646
55,27.5,312.7181548079621,0,1.634361979085952e-09,312.71815480959646
56,28.0,312.7181548085008,0,1.0956568985420745e-09,312.71815480959646
57,28.5,312.7181548088619,0,7.345306585193612e-10,312.71815480959646
58,29.0,312.718154809104,0,4.924345375911798e-10,312.71815480959646
59,29.5,312.7181548092663,0,3.3014657674357295e-10,312.71815480959646
60,30.0,312.7181548093751,0,2.213482730439864e-10,312.71815480959646
61,30.5,312.71815480944804,0,1.4841816664556973e-10,312.71815480959646
62,31.0,312.718154809497,0,9.947598300641403e-11,312.71815480959646
63,31.5,312.7181548095298,0,6.66773303237278e-11,312.71815480959646
64,32.0,312.7181548095518,0,4.46789272245951e-11,312.71815480959646
65,32.5,312.7181548095665,0,2.9956481739645824e-11,312.71815480959646
66,33.0,312.7181548095764,0,2.006572685786523e-11,312.71815480959646
67,33.5,312.718154809583,0,1.34718902700115e-11,312.71815480959646
68,34.0,312.7181548095874,0,9.038103598868474e-12,312.71815480959646
69,34.5,312.7181548095904,0,6.0822458181064576e-12,312.71815480959646
70,35.0,312.71815480959236,0,4.092726157978177e-12,312.71815480959646
71,35.5,312.7181548095937,0,2.7284841053187847e-12,312.71815480959646
72,36.0,312.71815480959464,0,1.8189894035458565e-12,312.71815480959646
73,36.5,312.71815480959526,0,1.1937117960769683e-12,312.71815480959646
74,37.0,312.71815480959566,0,7.958078640513122e-13,312.71815480959646
75,37.5,312.71815480959594,0,5.115907697472721e-13,312.71815480959646
76,38.0,312.7181548095961,0,3.410605131648481e-13,312.71815480959646
77,38.5,312.71815480959623,0,2.2737367544323206e-13,312.71815480959646
78,39.0,312.7181548095963,0,1.7053025658242404e-13,312.71815480959646
79,39.5,312.71815480959634,0,1.1368683772161603e-13,312.71815480959646
80,40.0,312.7181548095964,0,5.684341886080802e-14,312.71815480959646
81,40.5,312.7181548095964,0,5.684341886080802e-14,312.71815480959646
82,41.0,312.7181548095964,0,5.684341886080802e-14,312.71815480959646
