,time,S,I,R,N
0,0.0,300.0,100.0,0.0,400.0
1,0.5,231.85905097942575,98.28365163898636,42.23617122078031,372.3788738391924
2,1.0,201.58700785503322,81.48617709619407,66.53637539315451,349.6095603443818
3,1.5,196.45574381952284,65.22502186864128,75.98580845638253,337.66657414454664
4,2.0,204.22847372785324,54.15844579044351,76.79409159635314,335.1810111146499
5,2.5,217.62363637741072,47.83307320980825,73.82170107081575,339.2784106580347
6,3.0,232.71611796517533,44.911251835394616,69.93685552011684,347.5642253206868
7,3.5,247.43196036536224,44.30100840299393,66.59165798191536,358.32462675027153
8,4.0,260.73464485963694,45.22663544900836,64.4007874445332,370.3620677531785
9,4.5,272.2225048126593,47.117883238597464,63.512124220112476,382.8525122713692
10,5.0,281.91640700306425,49.53004799783756,63.81903722375747,395.2654922246593
11,5.5,290.1161651826081,52.11578363073286,65.08465584795042,407.31660466129136
12,6.0,297.27353193426814,54.62644486598378,67.02296307471266,418.9229398749646
13,6.5,303.87533601004594,56.916802120664435,69.35660111370964,430.14873924442
14,7.0,310.3514920642941,58.93694766799837,71.85604359978856,441.14448333208105
15,7.5,317.0214659039081,60.70926741527564,74.35970631479967,452.0904396339834
16,8.0,324.0802507936044,62.298116683123176,76.77621685149421,463.1545843282218
17,8.5,331.613518954771,63.78174483876252,79.07354190973949,474.468805703273
18,9.0,339.62749055821257,65.23240572349422,81.26149698038873,486.1213932620955
19,9.5,348.0812779003906,66.7058814088273,83.37353498492432,498.1606942941422
20,10.0,356.9142656073053,68.23859550202803,85.45162965026384,510.6044907595972
21,10.5,366.065535893229,69.84950728430725,87.53583687628306,523.4508800538193
22,11.0,375.48529040371454,71.54428145209995,89.65848900679082,536.6880608626053
23,11.5,385.1397073967512,73.31998158763813,91.84210731882982,550.3017963032191
24,12.0,395.0111669941506,75.16926302789781,94.0998392093658,564.2802692314142
25,12.5,405.09571385433986,77.08358551419587,96.43729995149039,578.6165993200261
26,13.0,415.3992964557294,79.05532731894228,98.85493485888848,593.3095586335602
27,13.5,425.9338949825114,81.07890199054272,101.35029767978737,608.3630946528415
28,14.0,436.7142239197123,83.1510942585872,103.91990082349844,623.7852190017979
29,14.5,447.75532939185854,85.27087063092836,106.56050192279571,639.5867019455826
30,15.0,459.0711263472668,87.43890538562637,109.26983839639546,655.7798701292886
