,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.5,224.52261857688427,47.030929600199066,128.44645182291666
2,1.0,226.4894527368756,19.489234238882297,154.02131302424212
3,1.5,248.57319119399247,8.665096396023515,142.761712409984
4,2.0,273.74971137429714,4.337497339523326,121.91279128617954
5,2.5,296.9012376205694,2.449274883733998,100.64948749569659
6,3.0,316.67475670101925,1.5393285927674147,81.78591470621333
7,3.5,333.0089209277431,1.0585989316883786,65.93248014056854
8,4.0,346.26949951429924,0.7837369296738714,52.94676355602689
9,4.5,356.92840485009197,0.6158747772775309,42.4557203726305
10,5.0,365.4442199673677,0.5076400815005169,34.04813995113178
11,5.5,372.22144872081685,0.4346677631522213,27.343883516030928
12,6.0,377.6012446596029,0.3836216251223691,22.015133715274718
13,6.5,381.8644790931698,0.34679534084039515,17.788725565989814
14,7.0,385.23912670882817,0.31952104373643686,14.441352247435397
15,7.5,387.90857605260794,0.2988535866912926,11.792570360700767
16,8.0,390.019476257215,0.28286817302601874,9.697655569758991
17,8.5,391.6886190915236,0.27026825407131905,8.041112654405076
18,9.0,393.0087484084239,0.2601576624886663,6.731093929087422
19,9.5,394.0533563005751,0.2519033007597125,5.694740398665184
20,10.0,394.8805879522353,0.2450496334612296,4.874362414303453
21,10.5,395.5363917471652,0.23926382581156785,4.2243444270232064
22,11.0,396.0570445329942,0.23429957874134533,3.7086558882644427
23,11.5,396.4711669620264,0.22997269915169222,3.298860338821892
24,12.0,396.80132666976044,0.22614423263003666,2.972529097609521
25,12.5,397.0653105219928,0.22270859004583213,2.7119808879613827
26,13.0,397.27713241297715,0.21958504692157904,2.503282540101268
27,13.5,397.4478304743675,0.21671156803832953,2.335457957594178
28,14.0,397.5860970187721,0.2140402651174984,2.199862716110422
29,14.5,397.698775889025,0.21153402055922432,2.089690090415775
30,15.0,397.791254855726,0.20916395591874243,1.9995811883552765
31,15.5,397.86777504013963,0.2069075200484848,1.9253174398118813
32,16.0,397.9316747980932,0.2047470366720788,1.8635781652347376
33,16.5,397.98558187490045,0.2026685956570945,1.8117495294424586
34,17.0,398.03156475570654,0.20066120333181642,1.7677740409616431
35,17.5,398.07125184429293,0.1987161292459411,1.730032026461128
36,18.0,398.1059252871628,0.19682640265374704,1.6972483101834626
37,18.5,398.13659482212176,0.19498642357774434,1.6684187543004907
38,19.0,398.1640558938947,0.19319166184982492,1.6427524442554486
39,19.5,398.1889353813698,0.19143842388434804,1.619626194745864
40,20.0,398.2117275721956,0.1897236717091854,1.598548756095187
41,20.5,398.2328224611826,0.18804488238633377,1.579132656431073
42,21.0,398.25252800791424,0.18639993869343519,1.5610720533923286
43,21.5,398.2710876413079,0.18478704402886983,1.5441253146632579
44,22.0,398.28869402489084,0.18320465610539816,1.5281013190037573
45,22.5,398.3054998807293,0.18165143522865457,1.512848684042031
46,23.0,398.3216264999556,0.18012620390532388,1.4982472961390914
47,23.5,398.3371704339911,0.17862791525792177,1.4842016507509734
48,24.0,398.35220875518297,0.17715562828902792,1.4706356165280008
49,24.5,398.3668031926302,0.17570848847583334,1.4574883188939802
50,25.0,398.3810033836987,0.17428571251522024,1.444710903786054
51,25.5,398.39484943036166,0.17288657630271895,1.4322639933356212
52,26.0,398.4083739090889,0.17151040543284213,1.4201156854782782
53,26.5,398.421603451224,0.17015656766677684,1.40823998110925
54,27.0,398.4345599857798,0.16882446693649675,1.396615547283704
55,27.5,398.4472617169219,0.16751353854997678,1.3852247445281225
56,28.0,398.45972389294496,0.16622324533650243,1.374052861718533
57,28.5,398.4719594113886,0.16495307452883168,1.3630875140825864
58,29.0,398.4839792953807,0.16370253522388048,1.352318169395399
59,29.5,398.4957930687822,0.16247115629853195,1.3417357749192909
60,30.0,398.50740905179873,0.1612584846843417,1.3313324635169268
61,30.5,398.51883459408566,0.16006408392605,1.3211013219882892
62,31.0,398.53007625872067,0.1588875329652651,1.3110362083140659
63,31.5,398.54113996755416,0.1577284251034868,1.3011316073423544
64,32.0,398.55203111619295,0.15658636710861235,1.2913825166984378
65,32.5,398.56275466510414,0.15546097843683213,1.2817843564590308
66,33.0,398.57331521193385,0.15435189054787574,1.2723328975182786
67,33.5,398.5837170490446,0.1532587462962845,1.2630242046591214
68,34.0,398.593964209416,0.1521811993850668,1.2538545911989183
69,34.5,398.60406050337974,0.1511189138709629,1.244820582749295
70,35.0,398.6140095481297,0.1500715637127878,1.2359188881575396
71,35.5,398.6238147915334,0.14903883235607254,1.2271463761105363
72,36.0,398.6334795314434,0.14802041234859598,1.2185000562079908
73,36.5,398.6430069314507,0.14701600498247128,1.209977063566815
74,37.0,398.6524000338216,0.14602531995929507,1.201574646219098
75,37.5,398.6616617702,0.1450480750755273,1.1932901547244743
76,38.0,398.6707949705344,0.14408399592579124,1.1851210335397924
77,38.5,398.67980237058987,0.14313281562219451,1.177064813787937
78,39.0,398.68868661832886,0.1421942745280959,1.1691191071430451
79,39.5,398.6974502793855,0.1412681200050015,1.1612816006094777
80,40.0,398.7060958418098,0.14035410617147923,1.153550052018694
