,S,I,R
0,300.0,100.0,0.0
1,300.0,99.0,1.0
2,300.0,98.0,2.0
3,299.0,99.0,2.0
4,299.0,99.0,2.0
5,299.0,99.0,2.0
6,299.0,99.0,2.0
7,299.0,99.0,2.0
8,299.0,99.0,2.0
9,298.0,99.0,3.0
10,298.0,99.0,3.0
11,298.0,98.0,4.0
12,298.0,97.0,5.0
13,298.0,97.0,5.0
14,298.0,97.0,5.0
15,297.0,98.0,5.0
16,297.0,97.0,6.0
17,297.0,97.0,6.0
18,297.0,97.0,6.0
19,297.0,96.0,7.0
20,297.0,96.0,7.0
21,296.0,97.0,7.0
22,296.0,97.0,7.0
23,296.0,97.0,7.0
24,296.0,96.0,8.0
25,296.0,96.0,8.0
26,296.0,96.0,8.0
27,296.0,96.0,8.0
28,296.0,96.0,8.0
29,296.0,96.0,8.0
30,296.0,95.0,9.0
31,295.0,96.0,9.0
32,295.0,96.0,9.0
33,295.0,95.0,10.0
34,295.0,95.0,10.0
35,295.0,95.0,10.0
36,295.0,95.0,10.0
37,294.0,95.0,11.0
38,294.0,94.0,12.0
39,294.0,94.0,12.0
40,293.0,95.0,12.0
41,293.0,95.0,12.0
42,292.0,96.0,12.0
43,292.0,95.0,13.0
44,292.0,95.0,13.0
45,292.0,94.0,14.0
46,292.0,93.0,15.0
47,292.0,93.0,15.0
48,292.0,93.0,15.0
49,292.0,93.0,15.0
50,292.0,93.0,15.0
51,292.0,93.0,15.0
52,292.0,93.0,15.0
53,292.0,93.0,15.0
54,292.0,93.0,15.0
55,292.0,93.0,15.0
56,292.0,93.0,15.0
57,291.0,94.0,15.0
58,291.0,94.0,15.0
59,291.0,94.0,15.0
60,290.0,94.0,16.0
61,290.0,94.0,16.0
62,289.0,95.0,16.0
63,289.0,95.0,16.0
64,289.0,95.0,16.0
65,289.0,95.0,16.0
66,289.0,95.0,16.0
67,289.0,94.0,17.0
68,289.0,94.0,17.0
69,289.0,94.0,17.0
70,289.0,94.0,17.0
71,289.0,94.0,17.0
72,289.0,94.0,17.0
73,288.0,95.0,17.0
74,288.0,94.0,18.0
75,288.0,94.0,18.0
76,288.0,94.0,18.0
77,288.0,94.0,18.0
78,288.0,94.0,18.0
79,288.0,94.0,18.0
80,288.0,94.0,18.0
81,288.0,93.0,19.0
82,288.0,93.0,19.0
83,288.0,93.0,19.0
84,287.0,93.0,20.0
85,286.0,93.0,21.0
86,286.0,93.0,21.0
87,286.0,93.0,21.0
88,285.0,94.0,21.0
89,285.0,94.0,21.0
90,285.0,94.0,21.0
91,285.0,94.0,21.0
92,284.0,94.0,22.0
93,283.0,95.0,22.0
94,283.0,94.0,23.0
95,283.0,93.0,24.0
96,283.0,93.0,24.0
97,283.0,93.0,24.0
98,283.0,93.0,24.0
99,283.0,93.0,24.0
100,283.0,93.0,24.0
101,283.0,93.0,24.0
102,283.0,92.0,25.0
103,283.0,92.0,25.0
104,283.0,92.0,25.0
105,283.0,91.0,26.0
106,283.0,91.0,26.0
107,283.0,91.0,26.0
108,282.0,92.0,26.0
109,282.0,92.0,26.0
110,282.0,92.0,26.0
111,282.0,92.0,26.0
112,281.0,92.0,27.0
113,282.0,91.0,27.0
114,282.0,90.0,28.0
115,282.0,89.0,29.0
116,282.0,88.0,30.0
117,282.0,88.0,30.0
118,282.0,87.0,31.0
119,282.0,87.0,31.0
120,282.0,87.0,31.0
121,282.0,86.0,32.0
122,281.0,87.0,32.0
123,281.0,86.0,33.0
124,281.0,86.0,33.0
125,281.0,86.0,33.0
126,281.0,86.0,33.0
127,281.0,86.0,33.0
128,281.0,86.0,33.0
129,281.0,86.0,33.0
130,281.0,85.0,34.0
131,281.0,85.0,34.0
132,281.0,84.0,35.0
133,281.0,83.0,36.0
134,281.0,83.0,36.0
135,280.0,84.0,36.0
136,280.0,83.0,37.0
137,280.0,82.0,38.0
138,280.0,82.0,38.0
139,279.0,82.0,39.0
140,278.0,82.0,40.0
141,278.0,82.0,40.0
142,278.0,82.0,40.0
143,278.0,81.0,41.0
144,278.0,81.0,41.0
145,278.0,80.0,42.0
146,278.0,80.0,42.0
147,278.0,79.0,43.0
148,278.0,78.0,44.0
149,277.0,79.0,44.0
150,277.0,79.0,44.0
151,277.0,79.0,44.0
152,277.0,79.0,44.0
153,277.0,79.0,44.0
154,277.0,78.0,45.0
155,277.0,78.0,45.0
156,277.0,78.0,45.0
157,277.0,78.0,45.0
158,277.0,77.0,46.0
159,277.0,76.0,47.0
160,277.0,76.0,47.0
161,277.0,76.0,47.0
162,277.0,76.0,47.0
163,277.0,76.0,47.0
164,277.0,76.0,47.0
165,277.0,76.0,47.0
166,277.0,76.0,47.0
167,277.0,76.0,47.0
168,276.0,77.0,47.0
169,276.0,77.0,47.0
170,276.0,76.0,48.0
171,276.0,75.0,49.0
172,276.0,75.0,49.0
173,276.0,75.0,49.0
174,276.0,75.0,49.0
175,276.0,75.0,49.0
176,276.0,74.0,50.0
177,276.0,74.0,50.0
178,276.0,74.0,50.0
179,276.0,74.0,50.0
180,276.0,73.0,51.0
181,276.0,73.0,51.0
182,276.0,73.0,51.0
183,276.0,73.0,51.0
184,276.0,72.0,52.0
185,275.0,73.0,52.0
186,275.0,73.0,52.0
187,275.0,72.0,53.0
188,274.0,73.0,53.0
189,274.0,73.0,53.0
190,273.0,74.0,53.0
191,273.0,74.0,53.0
192,273.0,74.0,53.0
193,272.0,74.0,54.0
194,272.0,74.0,54.0
195,272.0,74.0,54.0
196,272.0,74.0,54.0
197,272.0,74.0,54.0
198,272.0,74.0,54.0
199,273.0,73.0,54.0
200,273.0,72.0,55.0
201,273.0,72.0,55.0
202,273.0,72.0,55.0
