,time,S,I,R
167,0.4175,159.0,185.0,56.0
168,0.42,158.0,185.0,57.0
169,0.4225,157.0,185.0,58.0
170,0.425,156.0,185.0,59.0
171,0.4275,155.0,186.0,59.0
172,0.43,154.0,187.0,59.0
173,0.4325,155.0,186.0,59.0
174,0.435,155.0,186.0,59.0
175,0.4375,154.0,186.0,60.0
176,0.44,153.0,186.0,61.0
177,0.4425,152.0,186.0,62.0
178,0.445,152.0,185.0,63.0
179,0.4475,151.0,186.0,63.0
180,0.45,150.0,187.0,63.0
181,0.4525,150.0,187.0,63.0
182,0.455,150.0,186.0,64.0
183,0.4575,149.0,186.0,65.0
184,0.46,148.0,187.0,65.0
185,0.4625,147.0,188.0,65.0
186,0.465,146.0,189.0,65.0
187,0.4675,145.0,189.0,66.0
188,0.47000000000000003,144.0,189.0,67.0
189,0.47250000000000003,144.0,189.0,67.0
190,0.47500000000000003,143.0,190.0,67.0
191,0.47750000000000004,142.0,191.0,67.0
192,0.48,141.0,192.0,67.0
193,0.4825,141.0,192.0,67.0
194,0.485,140.0,193.0,67.0
195,0.4875,140.0,193.0,67.0
196,0.49,139.0,193.0,68.0
197,0.4925,139.0,193.0,68.0
198,0.495,138.0,194.0,68.0
199,0.4975,137.0,195.0,68.0
200,0.5,137.0,195.0,68.0
201,0.5025000000000001,136.0,196.0,68.0
202,0.505,135.0,197.0,68.0
203,0.5075000000000001,135.0,197.0,68.0
204,0.51,135.0,196.0,69.0
205,0.5125,135.0,195.0,70.0
206,0.515,135.0,196.0,69.0
207,0.5175,134.0,196.0,70.0
208,0.52,133.0,197.0,70.0
209,0.5225,132.0,197.0,71.0
210,0.525,131.0,197.0,72.0
211,0.5275,130.0,198.0,72.0
212,0.53,129.0,199.0,72.0
213,0.5325,129.0,199.0,72.0
214,0.535,128.0,200.0,72.0
215,0.5375,128.0,200.0,72.0
216,0.54,128.0,200.0,72.0
217,0.5425,127.0,200.0,73.0
218,0.545,127.0,199.0,74.0
219,0.5475,126.0,199.0,75.0
220,0.55,125.0,200.0,75.0
221,0.5525,124.0,200.0,76.0
222,0.555,123.0,200.0,77.0
223,0.5575,122.0,201.0,77.0
224,0.56,121.0,201.0,78.0
225,0.5625,121.0,200.0,79.0
226,0.5650000000000001,120.0,200.0,80.0
227,0.5675,119.0,201.0,80.0
228,0.5700000000000001,119.0,200.0,81.0
229,0.5725,119.0,200.0,81.0
230,0.5750000000000001,118.0,201.0,81.0
231,0.5775,117.0,202.0,81.0
232,0.58,116.0,202.0,82.0
233,0.5825,116.0,202.0,82.0
234,0.585,116.0,202.0,82.0
235,0.5875,115.0,203.0,82.0
236,0.59,114.0,204.0,82.0
237,0.5925,114.0,204.0,82.0
238,0.595,113.0,205.0,82.0
239,0.5975,113.0,205.0,82.0
240,0.6,112.0,205.0,83.0
241,0.6025,113.0,205.0,82.0
242,0.605,112.0,205.0,83.0
243,0.6075,111.0,205.0,84.0
244,0.61,111.0,204.0,85.0
245,0.6125,110.0,204.0,86.0
246,0.615,109.0,204.0,87.0
247,0.6175,109.0,204.0,87.0
248,0.62,108.0,204.0,88.0
249,0.6225,108.0,204.0,88.0
250,0.625,107.0,205.0,88.0
251,0.6275000000000001,106.0,206.0,88.0
252,0.63,106.0,205.0,89.0
253,0.6325000000000001,105.0,205.0,90.0
254,0.635,104.0,205.0,91.0
255,0.6375000000000001,104.0,206.0,90.0
256,0.64,103.0,206.0,91.0
257,0.6425,103.0,205.0,92.0
258,0.645,103.0,204.0,93.0
259,0.6475,104.0,204.0,92.0
260,0.65,104.0,204.0,92.0
261,0.6525,104.0,203.0,93.0
262,0.655,103.0,204.0,93.0
263,0.6575,102.0,205.0,93.0
264,0.66,102.0,205.0,93.0
265,0.6625,102.0,205.0,93.0
266,0.665,102.0,204.0,94.0
267,0.6675,102.0,203.0,95.0
268,0.67,102.0,202.0,96.0
269,0.6725,101.0,202.0,97.0
270,0.675,100.0,202.0,98.0
271,0.6775,100.0,202.0,98.0
272,0.68,99.0,202.0,99.0
