,S,I,R
228,253.0,84.0,63.0
229,253.0,84.0,63.0
230,253.0,84.0,63.0
231,253.0,84.0,63.0
232,253.0,84.0,63.0
233,253.0,84.0,63.0
234,253.0,84.0,63.0
235,253.0,84.0,63.0
236,253.0,84.0,63.0
237,252.0,85.0,63.0
238,252.0,85.0,63.0
239,251.0,86.0,63.0
240,251.0,86.0,63.0
241,250.0,87.0,63.0
242,250.0,86.0,64.0
243,250.0,86.0,64.0
244,250.0,86.0,64.0
245,250.0,86.0,64.0
246,250.0,86.0,64.0
247,250.0,86.0,64.0
248,249.0,87.0,64.0
249,248.0,87.0,65.0
250,247.0,88.0,65.0
251,247.0,87.0,66.0
252,247.0,87.0,66.0
253,247.0,87.0,66.0
254,246.0,88.0,66.0
255,246.0,88.0,66.0
256,246.0,88.0,66.0
257,246.0,88.0,66.0
258,245.0,89.0,66.0
259,245.0,88.0,67.0
260,245.0,88.0,67.0
261,245.0,88.0,67.0
262,245.0,87.0,68.0
263,246.0,86.0,68.0
264,246.0,86.0,68.0
265,246.0,85.0,69.0
266,245.0,86.0,69.0
267,244.0,86.0,70.0
268,243.0,86.0,71.0
269,243.0,85.0,72.0
270,243.0,85.0,72.0
271,243.0,85.0,72.0
272,243.0,84.0,73.0
273,243.0,84.0,73.0
274,243.0,84.0,73.0
275,243.0,84.0,73.0
276,242.0,85.0,73.0
277,242.0,84.0,74.0
278,242.0,84.0,74.0
279,242.0,84.0,74.0
280,242.0,84.0,74.0
281,242.0,84.0,74.0
282,241.0,85.0,74.0
283,241.0,85.0,74.0
284,241.0,85.0,74.0
285,241.0,85.0,74.0
286,241.0,85.0,74.0
287,241.0,85.0,74.0
288,241.0,85.0,74.0
289,240.0,86.0,74.0
290,240.0,86.0,74.0
291,240.0,86.0,74.0
292,240.0,86.0,74.0
293,240.0,85.0,75.0
294,240.0,85.0,75.0
295,240.0,85.0,75.0
296,240.0,85.0,75.0
297,240.0,84.0,76.0
298,240.0,84.0,76.0
299,240.0,84.0,76.0
300,240.0,84.0,76.0
301,240.0,83.0,77.0
302,240.0,82.0,78.0
303,240.0,81.0,79.0
304,240.0,80.0,80.0
305,240.0,79.0,81.0
306,240.0,79.0,81.0
307,240.0,79.0,81.0
308,240.0,78.0,82.0
309,240.0,77.0,83.0
310,239.0,78.0,83.0
311,239.0,78.0,83.0
312,239.0,78.0,83.0
313,238.0,79.0,83.0
314,238.0,79.0,83.0
315,238.0,79.0,83.0
316,238.0,78.0,84.0
317,237.0,78.0,85.0
318,237.0,78.0,85.0
319,237.0,78.0,85.0
320,237.0,78.0,85.0
321,237.0,78.0,85.0
322,237.0,78.0,85.0
323,237.0,78.0,85.0
324,237.0,78.0,85.0
325,236.0,79.0,85.0
326,236.0,79.0,85.0
327,236.0,79.0,85.0
328,236.0,78.0,86.0
329,236.0,78.0,86.0
330,236.0,77.0,87.0
331,236.0,76.0,88.0
332,236.0,76.0,88.0
333,236.0,76.0,88.0
334,236.0,76.0,88.0
335,236.0,76.0,88.0
336,235.0,77.0,88.0
337,235.0,77.0,88.0
338,235.0,77.0,88.0
339,234.0,78.0,88.0
340,234.0,78.0,88.0
341,234.0,78.0,88.0
342,234.0,77.0,89.0
343,234.0,76.0,90.0
344,234.0,76.0,90.0
345,234.0,76.0,90.0
346,234.0,76.0,90.0
347,234.0,75.0,91.0
348,235.0,74.0,91.0
349,235.0,73.0,92.0
350,235.0,73.0,92.0
351,235.0,73.0,92.0
352,235.0,73.0,92.0
353,235.0,72.0,93.0
354,235.0,72.0,93.0
355,235.0,71.0,94.0
356,235.0,70.0,95.0
357,235.0,70.0,95.0
358,234.0,71.0,95.0
359,234.0,71.0,95.0
360,234.0,71.0,95.0
361,234.0,71.0,95.0
362,234.0,71.0,95.0
363,234.0,71.0,95.0
364,234.0,71.0,95.0
365,234.0,70.0,96.0
366,234.0,70.0,96.0
367,234.0,70.0,96.0
368,234.0,70.0,96.0
369,234.0,70.0,96.0
370,234.0,70.0,96.0
371,234.0,70.0,96.0
372,234.0,70.0,96.0
373,233.0,71.0,96.0
374,233.0,71.0,96.0
375,233.0,71.0,96.0
376,232.0,72.0,96.0
377,232.0,71.0,97.0
378,232.0,71.0,97.0
379,232.0,71.0,97.0
380,232.0,71.0,97.0
381,232.0,71.0,97.0
382,232.0,70.0,98.0
383,233.0,69.0,98.0
384,232.0,69.0,99.0
385,232.0,69.0,99.0
386,232.0,68.0,100.0
387,232.0,68.0,100.0
388,233.0,67.0,100.0
389,233.0,67.0,100.0
390,233.0,67.0,100.0
391,233.0,67.0,100.0
392,233.0,67.0,100.0
393,233.0,67.0,100.0
394,233.0,66.0,101.0
395,233.0,66.0,101.0
396,233.0,66.0,101.0
397,233.0,66.0,101.0
398,232.0,67.0,101.0
399,232.0,67.0,101.0
400,232.0,67.0,101.0
401,232.0,67.0,101.0
402,232.0,67.0,101.0
403,232.0,67.0,101.0
404,232.0,67.0,101.0
405,232.0,67.0,101.0
406,231.0,68.0,101.0
407,231.0,68.0,101.0
408,231.0,67.0,102.0
409,231.0,67.0,102.0
410,231.0,67.0,102.0
411,230.0,68.0,102.0
412,230.0,68.0,102.0
413,230.0,67.0,103.0
414,230.0,67.0,103.0
415,230.0,67.0,103.0
416,230.0,67.0,103.0
417,230.0,66.0,104.0
418,230.0,66.0,104.0
419,229.0,67.0,104.0
420,229.0,67.0,104.0
421,229.0,67.0,104.0
422,229.0,67.0,104.0
423,228.0,68.0,104.0
424,228.0,68.0,104.0
425,228.0,68.0,104.0
426,228.0,68.0,104.0
427,228.0,68.0,104.0
428,228.0,68.0,104.0
429,228.0,68.0,104.0
430,228.0,68.0,104.0
431,228.0,67.0,105.0
432,228.0,67.0,105.0
