,S,I,R
0,300.0,100.0,0.0
1,299.0,101.0,0.0
2,298.0,101.0,1.0
3,297.0,101.0,2.0
4,296.0,102.0,2.0
5,295.0,103.0,2.0
6,294.0,104.0,2.0
7,293.0,105.0,2.0
8,292.0,106.0,2.0
9,291.0,107.0,2.0
10,290.0,108.0,2.0
11,289.0,108.0,3.0
12,288.0,109.0,3.0
13,287.0,110.0,3.0
14,287.0,110.0,3.0
15,286.0,111.0,3.0
16,285.0,112.0,3.0
17,284.0,113.0,3.0
18,283.0,114.0,3.0
19,282.0,115.0,3.0
20,281.0,116.0,3.0
21,280.0,117.0,3.0
22,279.0,118.0,3.0
23,279.0,118.0,3.0
24,278.0,119.0,3.0
25,278.0,118.0,4.0
26,277.0,119.0,4.0
27,276.0,120.0,4.0
28,276.0,120.0,4.0
29,276.0,119.0,5.0
30,275.0,120.0,5.0
31,274.0,121.0,5.0
32,273.0,122.0,5.0
33,272.0,123.0,5.0
34,271.0,124.0,5.0
35,270.0,125.0,5.0
36,269.0,125.0,6.0
37,268.0,126.0,6.0
38,267.0,127.0,6.0
39,266.0,128.0,6.0
40,265.0,129.0,6.0
41,264.0,130.0,6.0
42,264.0,130.0,6.0
43,263.0,130.0,7.0
44,262.0,130.0,8.0
45,261.0,130.0,9.0
46,261.0,129.0,10.0
47,260.0,129.0,11.0
48,259.0,130.0,11.0
49,258.0,131.0,11.0
50,257.0,131.0,12.0
51,256.0,132.0,12.0
52,255.0,133.0,12.0
53,254.0,134.0,12.0
54,253.0,135.0,12.0
55,253.0,135.0,12.0
56,252.0,136.0,12.0
57,252.0,135.0,13.0
58,251.0,136.0,13.0
59,250.0,137.0,13.0
60,250.0,136.0,14.0
61,249.0,136.0,15.0
62,248.0,137.0,15.0
63,247.0,137.0,16.0
64,247.0,137.0,16.0
65,246.0,138.0,16.0
66,245.0,139.0,16.0
67,245.0,139.0,16.0
68,244.0,140.0,16.0
69,243.0,140.0,17.0
70,243.0,140.0,17.0
71,242.0,140.0,18.0
72,241.0,140.0,19.0
73,241.0,139.0,20.0
74,241.0,138.0,21.0
75,240.0,139.0,21.0
76,239.0,139.0,22.0
77,238.0,139.0,23.0
78,237.0,140.0,23.0
79,237.0,140.0,23.0
80,237.0,139.0,24.0
81,236.0,140.0,24.0
82,235.0,140.0,25.0
83,234.0,141.0,25.0
84,233.0,142.0,25.0
85,232.0,142.0,26.0
86,231.0,143.0,26.0
